DC1_TotalEnergy, DC1_RenEnergy, DC2_TotalEnergy, DC2_RenEnergy, DC3_TotalEnergy, DC3_RenEnergy, DC4_TotalEnergy, DC4_RenEnergy,
286.090,174.562,287.777,176.052,280.717,152.312,289.121,184.613
291.558,173.950,281.438,176.746,280.235,151.898,290.472,186.150
286.687,173.274,281.641,170.946,279.313,152.035,296.068,179.895
289.220,176.260,280.812,163.814,279.071,151.767,294.610,185.828
290.263,175.594,280.950,163.288,280.114,151.771,292.379,187.103
288.927,164.539,279.089,163.688,279.504,153.376,296.189,186.918
289.736,171.749,284.063,178.743,278.853,150.762,291.056,186.234
279.869,165.529,287.010,182.942,280.375,153.271,296.452,183.029
285.584,164.975,289.786,184.930,281.641,153.145,286.693,181.984
283.480,167.701,286.079,181.888,278.080,151.503,296.067,185.967
280.710,165.088,294.091,183.543,283.223,154.852,285.679,181.294
284.458,168.123,288.314,180.337,281.345,153.717,289.585,184.190
291.402,174.775,282.424,168.204,280.289,152.269,289.590,179.033
288.764,172.132,284.565,177.088,281.535,152.785,288.836,183.733
286.879,171.390,280.045,176.657,280.714,153.171,296.068,184.355
287.527,171.038,286.317,170.137,280.665,152.312,289.197,184.253
289.207,174.031,279.426,165.747,278.243,150.671,296.835,183.256
289.486,172.876,282.898,174.251,281.575,153.093,289.743,180.632
285.203,165.601,284.738,173.262,280.387,152.851,293.380,183.962
287.783,167.016,285.426,177.423,281.971,153.147,288.523,183.227
281.013,164.907,286.420,177.897,279.449,151.900,296.826,180.318
284.426,168.328,284.548,177.712,279.948,152.353,294.785,180.311
280.956,158.308,292.198,180.167,282.696,153.861,287.851,182.603
281.602,156.251,290.579,181.237,280.456,152.778,291.067,185.709
278.435,161.127,290.677,181.334,279.779,152.419,294.820,185.996
283.335,164.975,290.119,180.337,282.243,153.570,288.003,182.639
283.466,166.332,288.447,175.185,280.027,153.110,291.764,186.372
290.572,163.486,282.073,168.102,279.998,151.174,291.063,185.714
280.858,152.396,293.089,182.765,280.526,151.793,289.231,183.959
282.658,162.831,287.357,175.675,278.878,151.381,294.817,173.471
