Time(sec),Load
0.0,0.0402
60.0,0.0368
120.0,0.0397
180.0,0.0378
240.0,0.0778
300.0,0.0652
360.0,0.0403
420.0,0.0692
480.0,0.0695
540.0,0.0792
600.0,0.0832
660.0,0.0777
720.0,0.0833
780.0,0.075
840.0,0.0817
900.0,0.0795
960.0,0.078
1020.0,0.0792
1080.0,0.0708
1140.0,0.0768
1200.0,0.0762
1260.0,0.0853
1320.0,0.0607
1380.0,0.0715
1440.0,0.0828
1500.0,0.0758
1560.0,0.0698
1620.0,0.0712
1680.0,0.0777
1740.0,0.076
1800.0,0.0773
1860.0,0.0745
1920.0,0.0708
1980.0,0.0665
2040.0,0.0617
2100.0,0.067
2160.0,0.0673
2220.0,0.0645
2280.0,0.0718
2340.0,0.068
2400.0,0.0705
2460.0,0.0708
2520.0,0.0713
2580.0,0.0702
2640.0,0.0777
2700.0,0.0592
2760.0,0.0467
2820.0,0.069
2880.0,0.0753
2940.0,0.0838
3000.0,0.0838
3060.0,0.0793
3120.0,0.0713
3180.0,0.0807
3240.0,0.1033
3300.0,0.0912
3360.0,0.0978
3420.0,0.0867
3480.0,0.0782
3540.0,0.0815
3600.0,0.069
3660.0,0.0667
3720.0,0.0632
3780.0,0.0758
3840.0,0.0773
3900.0,0.0717
3960.0,0.0797
4020.0,0.0772
4080.0,0.0867
4140.0,0.0423
4200.0,0.0512
4260.0,0.08199999999999999
4320.0,0.0572
4380.0,0.0905
4440.0,0.049
4500.0,0.0758
4560.0,0.0405
4620.0,0.043
4680.0,0.0645
4740.0,0.0818
4800.0,0.075
4860.0,0.0795
4920.0,0.0793
4980.0,0.0413
5040.0,0.0805
5100.0,0.0612
5160.0,0.073
5220.0,0.0442
5280.0,0.0517
5340.0,0.0763
5400.0,0.0803
5460.0,0.0385
5520.0,0.0795
5580.0,0.0438
5640.0,0.0898
5700.0,0.057
5760.0,0.0612
5820.0,0.0898
5880.0,0.0405
5940.0,0.0912
6000.0,0.0407
6060.0,0.0472
6120.0,0.0388
6180.0,0.0837
6240.0,0.0712
6300.0,0.0838
6360.0,0.0537
6420.0,0.057
6480.0,0.0673
6540.0,0.0927
6600.0,0.0755
6660.0,0.0608
6720.0,0.08900000000000001
6780.0,0.0673
6840.0,0.0625
6900.0,0.0645
6960.0,0.0677
7020.0,0.0727
7080.0,0.0677
7140.0,0.0678
7200.0,0.0978
7260.0,0.08900000000000001
7320.0,0.0575
7380.0,0.0637
7440.0,0.0653
7500.0,0.0887
7560.0,0.1093
7620.0,0.084
7680.0,0.0933
7740.0,0.1015
7800.0,0.098
7860.0,0.0645
7920.0,0.0902
7980.0,0.0878
8040.0,0.091
8100.0,0.1133
8160.0,0.0998
8220.0,0.1178
8280.0,0.08
8340.0,0.1118
8400.0,0.0827
8460.0,0.1308
8520.0,0.0985
8580.0,0.098
8640.0,0.096
8700.0,0.1165
8760.0,0.0792
8820.0,0.07400000000000001
8880.0,0.076
8940.0,0.128
9000.0,0.1167
9060.0,0.2995
9120.0,0.1288
9180.0,0.1072
9240.0,0.12
9300.0,0.1457
9360.0,0.1393
9420.0,0.1318
9480.0,0.1173
9540.0,0.1275
9600.0,0.0813
9660.0,0.1253
9720.0,0.136
9780.0,0.1275
9840.0,0.1397
9900.0,0.1255
9960.0,0.1308
10020.0,0.1357
10080.0,0.1223
