Time(sec),Load
0.0,0.1417
60.0,0.0877
120.0,0.0885
180.0,0.1015
240.0,0.0817
300.0,0.0718
360.0,0.0847
420.0,0.1045
480.0,0.0642
540.0,0.0763
600.0,0.075
660.0,0.0847
720.0,0.086
780.0,0.0952
840.0,0.0695
900.0,0.0958
960.0,0.0802
1020.0,0.0788
1080.0,0.08800000000000001
1140.0,0.086
1200.0,0.0855
1260.0,0.0653
1320.0,0.0882
1380.0,0.0885
1440.0,0.0905
1500.0,0.057999999999999996
1560.0,0.0862
1620.0,0.078
1680.0,0.0575
1740.0,0.087
1800.0,0.0928
1860.0,0.0668
1920.0,0.0712
1980.0,0.0948
2040.0,0.0818
2100.0,0.0537
2160.0,0.0943
2220.0,0.0845
2280.0,0.0808
2340.0,0.0777
2400.0,0.087
2460.0,0.0913
2520.0,0.0782
2580.0,0.0543
2640.0,0.0802
2700.0,0.0647
2760.0,0.0777
2820.0,0.0842
2880.0,0.0952
2940.0,0.0853
3000.0,0.0922
3060.0,0.091
3120.0,0.0918
3180.0,0.0572
3240.0,0.1007
3300.0,0.084
3360.0,0.0445
3420.0,0.0845
3480.0,0.0538
3540.0,0.0867
3600.0,0.1188
3660.0,0.0773
3720.0,0.1043
3780.0,0.141
3840.0,0.11800000000000001
3900.0,0.0955
3960.0,0.0932
4020.0,0.0858
4080.0,0.11900000000000001
4140.0,0.1103
4200.0,0.1188
4260.0,0.0878
4320.0,0.12300000000000001
4380.0,0.085
4440.0,0.0807
4500.0,0.1133
4560.0,0.1212
4620.0,0.1083
4680.0,0.0632
4740.0,0.0827
4800.0,0.0447
4860.0,0.054000000000000006
4920.0,0.0948
4980.0,0.07
5040.0,0.0837
5100.0,0.0788
5160.0,0.0825
5220.0,0.078
5280.0,0.0797
5340.0,0.08800000000000001
5400.0,0.0885
5460.0,0.0577
5520.0,0.08800000000000001
5580.0,0.0817
5640.0,0.0803
5700.0,0.061
5760.0,0.0875
5820.0,0.0808
5880.0,0.0952
5940.0,0.0603
6000.0,0.0817
6060.0,0.0595
6120.0,0.0923
6180.0,0.0928
6240.0,0.0783
6300.0,0.1017
6360.0,0.0477
6420.0,0.0725
6480.0,0.1022
6540.0,0.1
6600.0,0.1003
6660.0,0.1023
6720.0,0.064
6780.0,0.0683
6840.0,0.1122
6900.0,0.0522
6960.0,0.06
7020.0,0.1327
7080.0,0.0957
7140.0,0.0547
7200.0,0.0825
7260.0,0.0902
7320.0,0.0963
7380.0,0.0912
7440.0,0.0875
7500.0,0.0818
7560.0,0.0552
7620.0,0.048
7680.0,0.0665
7740.0,0.0623
7800.0,0.078
7860.0,0.0688
7920.0,0.0882
7980.0,0.0895
8040.0,0.079
8100.0,0.0673
8160.0,0.0672
8220.0,0.0755
8280.0,0.0597
8340.0,0.047
8400.0,0.0807
8460.0,0.085
8520.0,0.1128
8580.0,0.102
8640.0,0.0958
8700.0,0.0883
8760.0,0.073
8820.0,0.0925
8880.0,0.053
8940.0,0.08900000000000001
9000.0,0.0502
9060.0,0.0777
9120.0,0.1187
9180.0,0.0745
9240.0,0.0882
9300.0,0.0837
9360.0,0.0945
9420.0,0.0875
9480.0,0.083
9540.0,0.0673
9600.0,0.0728
9660.0,0.0885
9720.0,0.0867
9780.0,0.0842
9840.0,0.062
9900.0,0.0895
9960.0,0.0512
10020.0,0.0748
10080.0,0.08900000000000001
10140.0,0.0552
10200.0,0.1025
10260.0,0.08199999999999999
10320.0,0.09300000000000001
10380.0,0.0755
10440.0,0.1175
10500.0,0.0965
10560.0,0.0922
10620.0,0.0883
10680.0,0.0915
10740.0,0.0507
10800.0,0.0862
10860.0,0.0757
10920.0,0.095
10980.0,0.071
11040.0,0.0538
11100.0,0.0952
11160.0,0.0893
11220.0,0.0855
11280.0,0.0718
11340.0,0.084
11400.0,0.0822
11460.0,0.0575
11520.0,0.068
11580.0,0.0822
11640.0,0.0983
11700.0,0.0605
11760.0,0.0893
11820.0,0.1027
11880.0,0.1007
11940.0,0.0883
12000.0,0.0822
12060.0,0.0638
12120.0,0.0588
12180.0,0.1163
12240.0,0.09699999999999999
12300.0,0.0783
12360.0,0.0842
12420.0,0.0467
12480.0,0.0842
12540.0,0.086
12600.0,0.1017
12660.0,0.095
12720.0,0.0993
12780.0,0.0718
12840.0,0.09
12900.0,0.0895
12960.0,0.0763
13020.0,0.081
13080.0,0.0938
13140.0,0.0707
13200.0,0.0838
13260.0,0.0835
13320.0,0.0862
13380.0,0.0537
13440.0,0.08199999999999999
13500.0,0.0865
13560.0,0.1052
13620.0,0.0743
13680.0,0.0952
13740.0,0.0862
13800.0,0.0833
13860.0,0.0813
13920.0,0.0922
13980.0,0.0715
14040.0,0.0823
14100.0,0.0868
14160.0,0.0822
14220.0,0.0895
14280.0,0.0923
14340.0,0.063
14400.0,0.0557
14460.0,0.0793
14520.0,0.1248
14580.0,0.0632
14640.0,0.0817
14700.0,0.095
14760.0,0.0813
14820.0,0.0967
