Time(sec),Load
0.0,0.1448
60.0,0.1253
120.0,0.1343
180.0,0.136
240.0,0.1205
300.0,0.1635
360.0,0.1167
420.0,0.1043
480.0,0.0995
540.0,0.10400000000000001
600.0,0.1187
660.0,0.1238
720.0,0.1425
780.0,0.1528
840.0,0.1328
900.0,0.1435
960.0,0.1437
1020.0,0.1342
1080.0,0.1235
1140.0,0.171
1200.0,0.1405
1260.0,0.1555
1320.0,0.1352
1380.0,0.1373
1440.0,0.1748
1500.0,0.1288
1560.0,0.1037
1620.0,0.1538
1680.0,0.1402
1740.0,0.1715
1800.0,0.141
1860.0,0.1245
1920.0,0.1445
1980.0,0.0815
2040.0,0.1383
2100.0,0.1438
2160.0,0.13
2220.0,0.1052
2280.0,0.1238
2340.0,0.1217
2400.0,0.1458
2460.0,0.1442
2520.0,0.1662
2580.0,0.11699999999999999
2640.0,0.1317
2700.0,0.1362
2760.0,0.1543
2820.0,0.1262
2880.0,0.1423
2940.0,0.1078
3000.0,0.1593
3060.0,0.157
3120.0,0.0893
3180.0,0.1332
3240.0,0.11800000000000001
3300.0,0.1207
3360.0,0.13699999999999998
3420.0,0.1225
3480.0,0.1582
3540.0,0.1578
3600.0,0.1192
3660.0,0.1432
3720.0,0.1248
3780.0,0.1472
3840.0,0.1382
3900.0,0.1537
3960.0,0.1185
4020.0,0.146
4080.0,0.1475
4140.0,0.1598
4200.0,0.1453
4260.0,0.1148
4320.0,0.11199999999999999
4380.0,0.1667
4440.0,0.1437
4500.0,0.1533
4560.0,0.127
4620.0,0.1378
4680.0,0.1332
4740.0,0.1523
4800.0,0.124
4860.0,0.1165
4920.0,0.1073
4980.0,0.1377
5040.0,0.1393
5100.0,0.1328
5160.0,0.1393
5220.0,0.11699999999999999
5280.0,0.1387
5340.0,0.1318
5400.0,0.1222
5460.0,0.1363
5520.0,0.1288
5580.0,0.1203
5640.0,0.1127
5700.0,0.1227
5760.0,0.1033
5820.0,0.1338
5880.0,0.1405
5940.0,0.1498
6000.0,0.1238
6060.0,0.1475
6120.0,0.126
6180.0,0.1577
6240.0,0.1208
6300.0,0.1557
6360.0,0.1525
6420.0,0.1743
6480.0,0.1377
6540.0,0.1127
6600.0,0.10800000000000001
6660.0,0.1362
6720.0,0.1235
6780.0,0.1283
6840.0,0.1277
6900.0,0.11800000000000001
6960.0,0.1267
7020.0,0.11599999999999999
7080.0,0.159
7140.0,0.12300000000000001
7200.0,0.1435
7260.0,0.1438
7320.0,0.1475
7380.0,0.1415
7440.0,0.126
7500.0,0.1355
7560.0,0.1563
7620.0,0.1453
7680.0,0.1053
7740.0,0.136
7800.0,0.1463
7860.0,0.1238
7920.0,0.1587
7980.0,0.1107
8040.0,0.1352
8100.0,0.17
8160.0,0.1385
8220.0,0.172
8280.0,0.1275
8340.0,0.1233
8400.0,0.0897
8460.0,0.1225
8520.0,0.1395
8580.0,0.1457
8640.0,0.155
8700.0,0.14800000000000002
8760.0,0.1247
8820.0,0.1335
