Time(sec),Load
0.0,0.5643
60.0,0.5185
120.0,0.4967
180.0,0.5513
240.0,0.5772
300.0,0.5103
360.0,0.5012
420.0,0.1783
480.0,0.1092
540.0,0.0948
600.0,0.1292
660.0,0.0992
720.0,0.0807
780.0,0.1055
840.0,0.0862
900.0,0.0815
960.0,0.0973
1020.0,0.0822
1080.0,0.111
1140.0,0.087
1200.0,0.0997
1260.0,0.0988
1320.0,0.0905
1380.0,0.1073
1440.0,0.11599999999999999
1500.0,0.1132
1560.0,0.10099999999999999
1620.0,0.1052
1680.0,0.1058
1740.0,0.0903
1800.0,0.113
1860.0,0.0882
1920.0,0.1038
1980.0,0.1287
2040.0,0.1032
2100.0,0.1205
2160.0,0.1402
2220.0,0.0687
2280.0,0.1345
2340.0,0.091
2400.0,0.5137
2460.0,0.6937
2520.0,0.1223
2580.0,0.1935
2640.0,0.8127
2700.0,0.2897
2760.0,0.6552
2820.0,0.6525
2880.0,0.807
2940.0,0.728
3000.0,0.8643
3060.0,0.8787
3120.0,0.8382
3180.0,0.9162
3240.0,0.9727
3300.0,0.9805
3360.0,0.9422
3420.0,0.9025
3480.0,0.8928
3540.0,0.8827
3600.0,0.8668
3660.0,0.8783
3720.0,0.7340000000000001
3780.0,0.7078
3840.0,0.7297
3900.0,0.738
3960.0,0.7133
4020.0,0.7462
4080.0,0.6827
4140.0,0.6643
4200.0,0.1488
4260.0,0.1177
4320.0,0.1742
4380.0,0.5048
4440.0,0.5543
4500.0,0.5533
4560.0,0.6703
4620.0,0.7807
4680.0,0.6718
4740.0,0.4278
4800.0,0.7448
4860.0,0.8182
4920.0,0.5437
4980.0,0.461
5040.0,0.4847
5100.0,0.5073
5160.0,0.3677
5220.0,0.7168
5280.0,0.6907
5340.0,0.6645
5400.0,0.6567
5460.0,0.5985
5520.0,0.2243
5580.0,0.8047
5640.0,0.5323
5700.0,0.1212
5760.0,0.1133
5820.0,0.1868
5880.0,0.2303
5940.0,0.2142
6000.0,0.237
6060.0,0.1738
6120.0,0.2795
6180.0,0.1968
6240.0,0.1688
6300.0,0.2267
6360.0,0.1757
6420.0,0.2045
6480.0,0.2348
6540.0,0.2073
6600.0,0.2172
6660.0,0.239
6720.0,0.2822
6780.0,0.2528
6840.0,0.2753
6900.0,0.2425
6960.0,0.2902
7020.0,0.23
7080.0,0.2432
7140.0,0.2143
7200.0,0.2392
7260.0,0.1795
7320.0,0.1958
7380.0,0.2177
7440.0,0.218
7500.0,0.2312
7560.0,0.3072
7620.0,0.2242
7680.0,0.2435
7740.0,0.2335
7800.0,0.2408
7860.0,0.2097
7920.0,0.2257
7980.0,0.2132
8040.0,0.2212
8100.0,0.2055
8160.0,0.2157
8220.0,0.2303
8280.0,0.2565
8340.0,0.2347
8400.0,0.2688
8460.0,0.2428
8520.0,0.1902
8580.0,0.2125
8640.0,0.2203
8700.0,0.1838
8760.0,0.2167
8820.0,0.2372
8880.0,0.205
8940.0,0.1873
9000.0,0.214
9060.0,0.2267
9120.0,0.2363
9180.0,0.2608
9240.0,0.172
9300.0,0.2368
9360.0,0.1927
9420.0,0.192
9480.0,0.2312
9540.0,0.2193
9600.0,0.1918
9660.0,0.218
9720.0,0.2047
9780.0,0.17600000000000002
9840.0,0.2407
9900.0,0.2055
9960.0,0.2192
10020.0,0.21
10080.0,0.2122
10140.0,0.2137
10200.0,0.19899999999999998
10260.0,0.19399999999999998
10320.0,0.2403
10380.0,0.214
10440.0,0.2295
10500.0,0.2312
10560.0,0.2723
10620.0,0.2602
10680.0,0.1948
10740.0,0.2148
10800.0,0.1982
10860.0,0.1948
10920.0,0.193
10980.0,0.2233
11040.0,0.192
11100.0,0.1787
11160.0,0.20600000000000002
11220.0,0.1697
11280.0,0.2133
11340.0,0.2238
11400.0,0.2277
11460.0,0.1652
11520.0,0.1587
11580.0,0.2075
11640.0,0.2192
11700.0,0.2387
11760.0,0.2318
11820.0,0.231
11880.0,0.2318
11940.0,0.23800000000000002
12000.0,0.1962
12060.0,0.184
12120.0,0.1732
12180.0,0.20600000000000002
12240.0,0.2015
