Time(sec),Load
0.0,0.0662
60.0,0.0577
120.0,0.0643
180.0,0.057999999999999996
240.0,0.0658
300.0,0.0352
360.0,0.0597
420.0,0.0637
480.0,0.0263
540.0,0.0613
600.0,0.064
660.0,0.026000000000000002
720.0,0.0638
780.0,0.0577
840.0,0.0603
900.0,0.0342
960.0,0.061
1020.0,0.0308
1080.0,0.1298
1140.0,0.1092
1200.0,0.1408
1260.0,0.1213
1320.0,0.1175
1380.0,0.1963
1440.0,0.1605
1500.0,0.1407
1560.0,0.1128
1620.0,0.1187
1680.0,0.1362
1740.0,0.1348
1800.0,0.1875
1860.0,0.1478
1920.0,0.1595
1980.0,0.1362
2040.0,0.1435
2100.0,0.1257
2160.0,0.1608
2220.0,0.128
2280.0,0.151
2340.0,0.151
2400.0,0.1223
2460.0,0.0977
2520.0,0.1167
2580.0,0.1347
2640.0,0.1037
2700.0,0.1347
2760.0,0.1468
2820.0,0.1327
2880.0,0.1337
2940.0,0.1128
3000.0,0.1232
3060.0,0.1285
3120.0,0.1013
3180.0,0.1357
3240.0,0.1003
3300.0,0.1487
3360.0,0.131
3420.0,0.147
3480.0,0.1162
3540.0,0.1433
3600.0,0.1505
3660.0,0.1425
3720.0,0.1853
3780.0,0.1438
3840.0,0.1233
3900.0,0.1083
3960.0,0.1385
4020.0,0.1372
4080.0,0.1342
4140.0,0.1573
4200.0,0.1417
4260.0,0.1292
4320.0,0.138
4380.0,0.1223
4440.0,0.1383
4500.0,0.1195
4560.0,0.1323
4620.0,0.155
4680.0,0.124
4740.0,0.1502
4800.0,0.1362
4860.0,0.1148
4920.0,0.0885
4980.0,0.1295
5040.0,0.1513
5100.0,0.135
5160.0,0.1302
5220.0,0.1242
5280.0,0.1707
5340.0,0.1538
5400.0,0.1355
5460.0,0.1403
5520.0,0.1243
5580.0,0.1503
5640.0,0.1452
5700.0,0.1367
5760.0,0.1535
5820.0,0.128
5880.0,0.1682
5940.0,0.1308
6000.0,0.1113
6060.0,0.1542
6120.0,0.1387
6180.0,0.1403
6240.0,0.0978
6300.0,0.1388
6360.0,0.1305
6420.0,0.1218
6480.0,0.1378
6540.0,0.1228
6600.0,0.1135
6660.0,0.1185
6720.0,0.0968
6780.0,0.1105
6840.0,0.113
6900.0,0.10099999999999999
6960.0,0.11699999999999999
7020.0,0.149
7080.0,0.141
7140.0,0.1498
7200.0,0.1385
7260.0,0.1423
7320.0,0.1253
7380.0,0.0918
7440.0,0.1325
7500.0,0.1142
7560.0,0.1428
7620.0,0.1303
7680.0,0.1467
7740.0,0.114
7800.0,0.1255
7860.0,0.098
7920.0,0.1127
7980.0,0.1325
8040.0,0.1235
8100.0,0.1117
8160.0,0.1185
8220.0,0.0
8280.0,0.1772
8340.0,0.11800000000000001
8400.0,0.0933
8460.0,0.0975
8520.0,0.1223
8580.0,0.1485
8640.0,0.1328
8700.0,0.125
8760.0,0.1072
8820.0,0.1087
8880.0,0.135
8940.0,0.1143
9000.0,0.1218
9060.0,0.1142
9120.0,0.1237
9180.0,0.09300000000000001
9240.0,0.1207
9300.0,0.1258
9360.0,0.11800000000000001
9420.0,0.1192
9480.0,0.122
9540.0,0.13
9600.0,0.1107
9660.0,0.0953
9720.0,0.1103
9780.0,0.1083
9840.0,0.1068
9900.0,0.1223
9960.0,0.1192
10020.0,0.1018
10080.0,0.1072
10140.0,0.1223
10200.0,0.096
10260.0,0.0695
10320.0,0.1047
10380.0,0.0923
10440.0,0.0915
10500.0,0.0907
10560.0,0.0897
10620.0,0.11
10680.0,0.1012
10740.0,0.1073
10800.0,0.102
10860.0,0.0915
10920.0,0.0883
10980.0,0.0997
11040.0,0.1108
11100.0,0.099
11160.0,0.0912
11220.0,0.0953
11280.0,0.0793
11340.0,0.0943
11400.0,0.0918
11460.0,0.0807
11520.0,0.1013
11580.0,0.0677
11640.0,0.1
11700.0,0.1087
11760.0,0.0967
11820.0,0.0997
11880.0,0.0728
11940.0,0.0952
12000.0,0.0913
12060.0,0.0837
12120.0,0.0908
12180.0,0.0852
12240.0,0.0935
12300.0,0.0827
12360.0,0.0772
12420.0,0.0923
12480.0,0.0843
12540.0,0.0875
12600.0,0.08800000000000001
12660.0,0.0885
12720.0,0.1043
12780.0,0.0927
12840.0,0.0863
12900.0,0.0815
12960.0,0.0623
13020.0,0.0838
13080.0,0.0425
13140.0,0.0812
13200.0,0.0695
13260.0,0.086
13320.0,0.0763
13380.0,0.0852
13440.0,0.08199999999999999
13500.0,0.0887
13560.0,0.0952
13620.0,0.0812
13680.0,0.0832
13740.0,0.079
13800.0,0.0885
13860.0,0.1097
13920.0,0.0848
13980.0,0.1042
14040.0,0.1207
14100.0,0.10800000000000001
14160.0,0.1088
14220.0,0.0735
14280.0,0.0553
14340.0,0.0713
14400.0,0.079
14460.0,0.081
14520.0,0.0795
14580.0,0.081
14640.0,0.084
14700.0,0.0723
14760.0,0.0775
14820.0,0.0817
14880.0,0.0808
14940.0,0.0905
15000.0,0.084
15060.0,0.083
15120.0,0.0915
15180.0,0.1042
15240.0,0.0925
15300.0,0.0995
15360.0,0.1112
15420.0,0.1195
15480.0,0.599
15540.0,0.3783
15600.0,0.3625
15660.0,0.386
15720.0,0.4003
15780.0,0.4678
15840.0,0.5833
15900.0,0.6048
15960.0,0.6448
16020.0,0.6193
16080.0,0.6242
16140.0,0.605
16200.0,0.6183
16260.0,0.6288
16320.0,0.5668
16380.0,0.6255
16440.0,0.7153
16500.0,0.7457
16560.0,0.6522
16620.0,0.5517
16680.0,0.4073
16740.0,0.3533
16800.0,0.5213
16860.0,0.6677
16920.0,0.5920000000000001
16980.0,0.6473
17040.0,0.6662
17100.0,0.5905
17160.0,0.6078
17220.0,0.6083
17280.0,0.6422
17340.0,0.565
17400.0,0.6629999999999999
17460.0,0.742
17520.0,0.5057
17580.0,0.08199999999999999
17640.0,0.084
17700.0,0.1035
17760.0,0.0555
17820.0,0.0782
17880.0,0.055999999999999994
