Time(sec),Load
0.0,0.1722
60.0,0.1482
120.0,0.1673
180.0,0.1717
240.0,0.1598
300.0,0.1687
360.0,0.1565
420.0,0.1582
480.0,0.1827
540.0,0.1767
600.0,0.18600000000000003
660.0,0.1637
720.0,0.1523
780.0,0.1493
840.0,0.1918
900.0,0.1273
960.0,0.1673
1020.0,0.1977
1080.0,0.1652
1140.0,0.1698
1200.0,0.151
1260.0,0.1765
1320.0,0.1608
1380.0,0.1513
1440.0,0.1637
1500.0,0.14400000000000002
1560.0,0.1907
1620.0,0.1705
1680.0,0.1482
1740.0,0.1943
1800.0,0.1503
1860.0,0.177
1920.0,0.1563
1980.0,0.1348
2040.0,0.1645
2100.0,0.1932
2160.0,0.1388
2220.0,0.1797
2280.0,0.1605
2340.0,0.1727
2400.0,0.1423
2460.0,0.1803
2520.0,0.2035
2580.0,0.1715
2640.0,0.1677
2700.0,0.1477
2760.0,0.1437
2820.0,0.141
2880.0,0.162
2940.0,0.1685
3000.0,0.2038
3060.0,0.1653
3120.0,0.1573
3180.0,0.1787
3240.0,0.1867
3300.0,0.1937
3360.0,0.1448
3420.0,0.1352
3480.0,0.1505
3540.0,0.1478
3600.0,0.2022
3660.0,0.1345
3720.0,0.1288
3780.0,0.1198
3840.0,0.1463
3900.0,0.1687
3960.0,0.15
4020.0,0.1422
4080.0,0.1788
4140.0,0.1793
4200.0,0.1467
4260.0,0.1533
4320.0,0.1347
4380.0,0.1777
4440.0,0.1638
4500.0,0.1423
4560.0,0.1535
4620.0,0.203
4680.0,0.1212
4740.0,0.1842
4800.0,0.1447
4860.0,0.1663
4920.0,0.1633
4980.0,0.1625
5040.0,0.159
5100.0,0.1467
5160.0,0.1735
5220.0,0.1663
5280.0,0.1202
5340.0,0.1478
5400.0,0.1577
5460.0,0.1823
5520.0,0.1572
5580.0,0.153
5640.0,0.141
5700.0,0.1538
5760.0,0.1523
5820.0,0.1792
5880.0,0.209
5940.0,0.152
6000.0,0.152
6060.0,0.1407
6120.0,0.1567
6180.0,0.1652
6240.0,0.1562
6300.0,0.1458
6360.0,0.1908
6420.0,0.1773
6480.0,0.1773
6540.0,0.159
6600.0,0.1398
6660.0,0.1502
6720.0,0.1627
6780.0,0.2592
6840.0,0.2262
6900.0,0.1657
6960.0,0.1448
7020.0,0.1875
7080.0,0.1567
7140.0,0.1687
7200.0,0.1482
7260.0,0.1427
7320.0,0.1278
7380.0,0.1518
7440.0,0.1708
7500.0,0.1872
7560.0,0.1985
7620.0,0.18600000000000003
7680.0,0.196
7740.0,0.1638
7800.0,0.1935
7860.0,0.2297
7920.0,0.1603
7980.0,0.1467
8040.0,0.1857
8100.0,0.1777
8160.0,0.1447
8220.0,0.1495
8280.0,0.1538
8340.0,0.15
8400.0,0.1875
8460.0,0.1357
8520.0,0.1772
8580.0,0.1818
8640.0,0.1812
8700.0,0.1837
8760.0,0.1203
8820.0,0.1432
8880.0,0.1758
8940.0,0.1458
9000.0,0.1593
9060.0,0.1303
9120.0,0.1515
9180.0,0.1637
9240.0,0.11900000000000001
9300.0,0.1362
9360.0,0.1487
9420.0,0.1197
9480.0,0.1647
9540.0,0.1443
9600.0,0.1138
9660.0,0.1513
9720.0,0.1567
9780.0,0.1383
9840.0,0.14300000000000002
9900.0,0.1085
9960.0,0.1407
10020.0,0.15
10080.0,0.1407
10140.0,0.1417
10200.0,0.1115
10260.0,0.1675
10320.0,0.2378
10380.0,0.2743
10440.0,0.2928
10500.0,0.2668
10560.0,0.2667
10620.0,0.2632
10680.0,0.2472
10740.0,0.2335
10800.0,0.2333
10860.0,0.2192
10920.0,0.18100000000000002
10980.0,0.1665
11040.0,0.1742
11100.0,0.1713
11160.0,0.1653
11220.0,0.166
11280.0,0.1522
11340.0,0.2138
11400.0,0.2528
11460.0,0.2297
11520.0,0.2555
11580.0,0.2682
11640.0,0.2747
11700.0,0.3727
11760.0,0.2245
11820.0,0.2312
11880.0,0.2065
11940.0,0.2002
12000.0,0.1692
12060.0,0.1362
12120.0,0.2037
12180.0,0.2223
12240.0,0.2012
12300.0,0.1668
12360.0,0.1452
12420.0,0.1455
12480.0,0.1507
12540.0,0.1178
12600.0,0.1367
12660.0,0.1347
12720.0,0.1018
12780.0,0.152
12840.0,0.1405
12900.0,0.1452
12960.0,0.11199999999999999
13020.0,0.1488
13080.0,0.1093
13140.0,0.11
13200.0,0.1178
13260.0,0.1407
13320.0,0.1355
13380.0,0.1283
13440.0,0.098
13500.0,0.1268
13560.0,0.1387
13620.0,0.1413
13680.0,0.1323
13740.0,0.177
13800.0,0.1488
13860.0,0.1608
13920.0,0.1357
13980.0,0.1323
14040.0,0.1418
14100.0,0.159
14160.0,0.1568
14220.0,0.1462
14280.0,0.1457
14340.0,0.1167
14400.0,0.1523
14460.0,0.1467
14520.0,0.1188
14580.0,0.1343
14640.0,0.1325
14700.0,0.1138
14760.0,0.1302
14820.0,0.1427
14880.0,0.126
14940.0,0.1338
15000.0,0.132
15060.0,0.1163
15120.0,0.1338
15180.0,0.0938
15240.0,0.1357
15300.0,0.1348
15360.0,0.1255
15420.0,0.1325
15480.0,0.1358
15540.0,0.1478
15600.0,0.1115
15660.0,0.1645
15720.0,0.1325
15780.0,0.1693
15840.0,0.1475
15900.0,0.1397
15960.0,0.1038
16020.0,0.1267
16080.0,0.1343
16140.0,0.1595
16200.0,0.1523
16260.0,0.1757
16320.0,0.1412
16380.0,0.1538
16440.0,0.1432
16500.0,0.1255
16560.0,0.1393
16620.0,0.0975
16680.0,0.133
16740.0,0.1218
16800.0,0.141
16860.0,0.1397
16920.0,0.134
16980.0,0.1278
17040.0,0.11199999999999999
17100.0,0.1263
17160.0,0.1477
17220.0,0.1123
17280.0,0.1117
17340.0,0.1343
17400.0,0.134
17460.0,0.1703
17520.0,0.1462
17580.0,0.1723
17640.0,0.0967
17700.0,0.1412
17760.0,0.1265
17820.0,0.1797
17880.0,0.11699999999999999
17940.0,0.1517
18000.0,0.132
18060.0,0.125
18120.0,0.1157
18180.0,0.1227
18240.0,0.151
18300.0,0.1317
18360.0,0.1032
18420.0,0.1317
18480.0,0.1417
18540.0,0.1308
18600.0,0.1317
18660.0,0.1325
18720.0,0.1252
18780.0,0.1163
18840.0,0.1183
18900.0,0.1115
18960.0,0.1023
19020.0,0.1565
19080.0,0.1303
19140.0,0.1345
19200.0,0.1265
19260.0,0.1515
19320.0,0.145
19380.0,0.1573
19440.0,0.1442
19500.0,0.098
19560.0,0.1298
19620.0,0.1262
19680.0,0.2038
19740.0,0.1372
19800.0,0.1077
19860.0,0.1327
19920.0,0.0923
19980.0,0.1103
20040.0,0.1477
20100.0,0.0973
20160.0,0.1225
20220.0,0.1308
20280.0,0.1497
20340.0,0.1205
20400.0,0.11800000000000001
20460.0,0.1212
20520.0,0.1297
20580.0,0.1132
20640.0,0.1157
20700.0,0.1375
20760.0,0.1395
20820.0,0.14
20880.0,0.1157
20940.0,0.128
21000.0,0.0958
21060.0,0.14400000000000002
21120.0,0.10099999999999999
21180.0,0.1627
21240.0,0.142
21300.0,0.1425
21360.0,0.1635
21420.0,0.1463
21480.0,0.1488
21540.0,0.1283
21600.0,0.1662
21660.0,0.1237
21720.0,0.122
21780.0,0.1197
21840.0,0.1143
21900.0,0.1125
21960.0,0.1108
22020.0,0.1293
22080.0,0.0
22140.0,0.132
22200.0,0.1077
22260.0,0.1003
22320.0,0.0987
22380.0,0.10800000000000001
22440.0,0.1618
22500.0,0.1725
22560.0,0.1262
22620.0,0.1393
22680.0,0.1015
22740.0,0.1495
22800.0,0.1562
22860.0,0.10300000000000001
22920.0,0.1473
22980.0,0.1563
23040.0,0.1345
23100.0,0.1322
23160.0,0.1365
23220.0,0.1508
23280.0,0.1573
23340.0,0.1735
23400.0,0.1143
23460.0,0.1182
23520.0,0.1142
23580.0,0.1557
23640.0,0.1248
23700.0,0.1238
23760.0,0.1257
23820.0,0.1145
23880.0,0.1378
23940.0,0.1462
24000.0,0.1478
24060.0,0.1482
24120.0,0.1202
24180.0,0.1143
24240.0,0.0985
24300.0,0.1283
24360.0,0.09699999999999999
24420.0,0.0958
24480.0,0.0638
24540.0,0.10300000000000001
24600.0,0.08800000000000001
24660.0,0.1213
24720.0,0.10300000000000001
24780.0,0.0972
24840.0,0.0997
24900.0,0.1122
24960.0,0.0733
25020.0,0.1068
25080.0,0.0927
25140.0,0.0928
25200.0,0.1005
25260.0,0.1218
25320.0,0.1027
25380.0,0.1212
25440.0,0.0908
25500.0,0.0993
25560.0,0.1017
25620.0,0.0993
25680.0,0.0798
25740.0,0.1118
25800.0,0.1027
25860.0,0.0968
25920.0,0.0882
25980.0,0.0917
26040.0,0.0957
26100.0,0.0942
26160.0,0.10800000000000001
26220.0,0.0687
26280.0,0.1098
26340.0,0.0855
26400.0,0.1057
26460.0,0.0863
26520.0,0.0842
26580.0,0.0768
26640.0,0.0897
26700.0,0.0788
26760.0,0.105
26820.0,0.0782
26880.0,0.0875
26940.0,0.1252
27000.0,0.10099999999999999
27060.0,0.0913
27120.0,0.0857
27180.0,0.0963
27240.0,0.0882
27300.0,0.0987
27360.0,0.0713
27420.0,0.0965
27480.0,0.0965
27540.0,0.1002
27600.0,0.0928
27660.0,0.08199999999999999
27720.0,0.0852
27780.0,0.0903
27840.0,0.1115
27900.0,0.0915
27960.0,0.0962
28020.0,0.084
28080.0,0.087
28140.0,0.0472
28200.0,0.08800000000000001
28260.0,0.0937
28320.0,0.0955
28380.0,0.0672
28440.0,0.0783
28500.0,0.0832
28560.0,0.1005
28620.0,0.0843
28680.0,0.16
28740.0,0.1275
28800.0,0.07400000000000001
28860.0,0.1207
28920.0,0.0797
28980.0,0.0907
29040.0,0.0812
29100.0,0.0722
29160.0,0.1007
29220.0,0.07
29280.0,0.0403
29340.0,0.6457
29400.0,0.385
29460.0,0.365
29520.0,0.37799999999999995
29580.0,0.37
29640.0,0.3718
29700.0,0.3763
29760.0,0.3952
29820.0,0.6692
29880.0,0.6457
29940.0,0.5898
30000.0,0.6722
30060.0,0.6052
30120.0,0.5495
30180.0,0.5892
30240.0,0.605
30300.0,0.5868
30360.0,0.6698
30420.0,0.721
30480.0,0.6987
30540.0,0.6832
30600.0,0.556
30660.0,0.4582
30720.0,0.3948
30780.0,0.3605
30840.0,0.3357
30900.0,0.3332
30960.0,0.4962
31020.0,0.647
31080.0,0.5873
31140.0,0.6018
31200.0,0.6028
31260.0,0.5855
31320.0,0.6153
31380.0,0.6345
31440.0,0.6293
31500.0,0.6192
31560.0,0.7203
31620.0,0.738
31680.0,0.2152
31740.0,0.0723
31800.0,0.0985
31860.0,0.0672
31920.0,0.0773
31980.0,0.0602
32040.0,0.0712
32100.0,0.0873
32160.0,0.0708
32220.0,0.07400000000000001
32280.0,0.0723
32340.0,0.083
32400.0,0.0385
32460.0,0.0617
32520.0,0.0637
32580.0,0.065
32640.0,0.0712
32700.0,0.0765
32760.0,0.0653
32820.0,0.0723
32880.0,0.0628
32940.0,0.0435
33000.0,0.0752
33060.0,0.0627
33120.0,0.0707
33180.0,0.0708
33240.0,0.0473
33300.0,0.0725
33360.0,0.0443
33420.0,0.0843
33480.0,0.1008
33540.0,0.1015
33600.0,0.0403
33660.0,0.0332
33720.0,0.0432
33780.0,0.0328
33840.0,0.0718
33900.0,0.0763
33960.0,0.0712
34020.0,0.0898
34080.0,0.0697
34140.0,0.0895
34200.0,0.0817
34260.0,0.0838
34320.0,0.0603
34380.0,0.0678
34440.0,0.129
34500.0,0.5968
34560.0,0.4563
34620.0,0.2978
34680.0,0.0672
34740.0,0.068
34800.0,0.0725
34860.0,0.10300000000000001
34920.0,0.0857
34980.0,0.0365
35040.0,0.0832
35100.0,0.0423
35160.0,0.0688
35220.0,0.0355
35280.0,0.0333
35340.0,0.0407
35400.0,0.0315
35460.0,0.0367
35520.0,0.0687
35580.0,0.0672
35640.0,0.0752
35700.0,0.0505
35760.0,0.0458
35820.0,0.0468
35880.0,0.0663
35940.0,0.071
36000.0,0.0338
36060.0,0.0702
36120.0,0.0642
36180.0,0.066
36240.0,0.0373
36300.0,0.0323
36360.0,0.0695
36420.0,0.0393
36480.0,0.0628
