Time(sec),Load
0.0,0.063
60.0,0.0585
120.0,0.0293
180.0,0.0323
240.0,0.0643
300.0,0.0355
360.0,0.061
420.0,0.0718
480.0,0.0578
540.0,0.0735
600.0,0.035
660.0,0.028999999999999998
720.0,0.034
780.0,0.0297
840.0,0.067
900.0,0.0657
960.0,0.0312
1020.0,0.0495
1080.0,0.0392
1140.0,0.0628
1200.0,0.0643
1260.0,0.0573
1320.0,0.066
1380.0,0.0608
1440.0,0.063
1500.0,0.0252
1560.0,0.0242
1620.0,0.0585
1680.0,0.0608
1740.0,0.031
1800.0,0.0637
1860.0,0.0288
1920.0,0.0675
1980.0,0.0598
2040.0,0.0595
2100.0,0.0727
2160.0,0.0257
2220.0,0.0327
2280.0,0.0585
2340.0,0.0268
2400.0,0.0288
2460.0,0.0625
2520.0,0.057
2580.0,0.0257
2640.0,0.0545
2700.0,0.0283
2760.0,0.0248
2820.0,0.0263
2880.0,0.0563
2940.0,0.0578
3000.0,0.0615
3060.0,0.0272
3120.0,0.0262
3180.0,0.025
3240.0,0.0545
3300.0,0.0608
3360.0,0.0278
3420.0,0.0275
3480.0,0.0645
3540.0,0.027999999999999997
3600.0,0.0312
3660.0,0.0582
3720.0,0.059000000000000004
3780.0,0.0668
3840.0,0.0578
3900.0,0.0708
3960.0,0.0265
4020.0,0.0325
4080.0,0.0615
4140.0,0.0763
4200.0,0.0263
4260.0,0.0348
4320.0,0.06
4380.0,0.032
4440.0,0.0573
4500.0,0.0655
4560.0,0.0575
4620.0,0.0315
4680.0,0.0573
4740.0,0.0313
4800.0,0.0302
4860.0,0.0652
4920.0,0.0307
4980.0,0.0772
5040.0,0.0352
5100.0,0.0765
5160.0,0.0293
5220.0,0.0353
5280.0,0.0372
5340.0,0.0642
5400.0,0.0398
5460.0,0.0585
5520.0,0.0803
5580.0,0.038
5640.0,0.0702
5700.0,0.064
5760.0,0.0485
5820.0,0.0332
5880.0,0.0753
5940.0,0.0373
6000.0,0.0442
6060.0,0.0702
6120.0,0.0692
6180.0,0.0658
6240.0,0.0422
6300.0,0.042
6360.0,0.0368
6420.0,0.0797
6480.0,0.0808
6540.0,0.0502
6600.0,0.0518
6660.0,0.0568
6720.0,0.0315
6780.0,0.0365
6840.0,0.0655
6900.0,0.0377
6960.0,0.0655
7020.0,0.0462
7080.0,0.0657
7140.0,0.0473
7200.0,0.0295
7260.0,0.0372
7320.0,0.0297
7380.0,0.0397
7440.0,0.0427
7500.0,0.0545
7560.0,0.0737
7620.0,0.0752
7680.0,0.0365
7740.0,0.0428
7800.0,0.0708
7860.0,0.0867
7920.0,0.078
7980.0,0.057
8040.0,0.04
8100.0,0.0355
8160.0,0.0452
8220.0,0.032
8280.0,0.0387
8340.0,0.0388
8400.0,0.0663
8460.0,0.083
8520.0,0.0815
8580.0,0.0532
8640.0,0.0692
8700.0,0.0705
8760.0,0.0472
8820.0,0.0743
8880.0,0.0793
8940.0,0.0782
9000.0,0.0845
9060.0,0.0845
9120.0,0.09699999999999999
9180.0,0.094
9240.0,0.0548
9300.0,0.1037
9360.0,0.0603
9420.0,0.0608
9480.0,0.0608
9540.0,0.1032
9600.0,0.1012
9660.0,0.0927
9720.0,0.1173
9780.0,0.092
9840.0,0.0788
9900.0,0.0807
9960.0,0.0805
10020.0,0.087
10080.0,0.0792
10140.0,0.0602
10200.0,0.0952
10260.0,0.098
10320.0,0.0613
10380.0,0.0795
10440.0,0.0892
10500.0,0.0788
10560.0,0.0507
10620.0,0.0822
10680.0,0.087
10740.0,0.0815
10800.0,0.0728
10860.0,0.0532
10920.0,0.0765
10980.0,0.094
11040.0,0.0972
11100.0,0.1007
11160.0,0.057
11220.0,0.1022
11280.0,0.0847
11340.0,0.0727
11400.0,0.0922
11460.0,0.0693
11520.0,0.0498
11580.0,0.0832
11640.0,0.0775
11700.0,0.0895
11760.0,0.0487
11820.0,0.0835
11880.0,0.0925
11940.0,0.0923
12000.0,0.1167
12060.0,0.0985
12120.0,0.0817
12180.0,0.1025
12240.0,0.0948
12300.0,0.0992
12360.0,0.1062
12420.0,0.0677
12480.0,0.1055
12540.0,0.0893
12600.0,0.0747
12660.0,0.0717
12720.0,0.0968
12780.0,0.1095
12840.0,0.0747
12900.0,0.1053
12960.0,0.0808
13020.0,0.0977
13080.0,0.0878
13140.0,0.0563
13200.0,0.079
13260.0,0.1032
13320.0,0.1035
13380.0,0.0658
13440.0,0.0948
13500.0,0.0925
13560.0,0.0915
13620.0,0.0743
13680.0,0.084
13740.0,0.0777
13800.0,0.0905
13860.0,0.0898
13920.0,0.0958
13980.0,0.1042
14040.0,0.06
14100.0,0.0938
14160.0,0.0913
14220.0,0.102
14280.0,0.0995
14340.0,0.0693
14400.0,0.1048
14460.0,0.0967
14520.0,0.0992
14580.0,0.0937
14640.0,0.0703
14700.0,0.10400000000000001
14760.0,0.096
14820.0,0.0898
14880.0,0.0638
14940.0,0.0647
15000.0,0.091
15060.0,0.09
15120.0,0.073
15180.0,0.1028
15240.0,0.0953
15300.0,0.0908
15360.0,0.0943
15420.0,0.0692
15480.0,0.085
15540.0,0.0985
15600.0,0.0838
15660.0,0.0985
15720.0,0.0672
15780.0,0.1045
