Time(sec),Load
0.0,0.1945
60.0,0.2567
120.0,0.2322
180.0,0.239
240.0,0.2218
300.0,0.2047
360.0,0.2507
420.0,0.2832
480.0,0.2347
540.0,0.2448
600.0,0.1917
660.0,0.2468
720.0,0.2315
780.0,0.2693
840.0,0.2143
900.0,0.2575
960.0,0.2177
1020.0,0.2305
1080.0,0.2183
1140.0,0.1962
1200.0,0.2335
1260.0,0.2503
1320.0,0.1895
1380.0,0.2883
1440.0,0.2325
1500.0,0.2155
1560.0,0.1962
1620.0,0.2425
1680.0,0.2455
1740.0,0.2562
1800.0,0.3098
1860.0,0.2173
1920.0,0.2032
1980.0,0.2367
2040.0,0.2017
2100.0,0.2058
2160.0,0.1975
2220.0,0.1952
2280.0,0.1713
2340.0,0.1995
2400.0,0.2432
2460.0,0.2115
2520.0,0.2482
2580.0,0.24600000000000002
2640.0,0.16899999999999998
2700.0,0.193
2760.0,0.1978
2820.0,0.1907
2880.0,0.2155
2940.0,0.1793
3000.0,0.2142
3060.0,0.2418
3120.0,0.2433
3180.0,0.2148
3240.0,0.2292
3300.0,0.2522
3360.0,0.1917
3420.0,0.2108
3480.0,0.2195
3540.0,0.2483
3600.0,0.2948
3660.0,0.235
3720.0,0.2303
3780.0,0.1823
3840.0,0.2048
3900.0,0.2162
3960.0,0.2225
4020.0,0.2428
4080.0,0.2108
4140.0,0.2852
4200.0,0.2313
4260.0,0.2033
4320.0,0.2413
4380.0,0.2525
4440.0,0.2167
4500.0,0.2333
4560.0,0.2287
4620.0,0.244
4680.0,0.1933
4740.0,0.2307
4800.0,0.2307
4860.0,0.27399999999999997
4920.0,0.23800000000000002
4980.0,0.2603
5040.0,0.2147
5100.0,0.2458
5160.0,0.2227
5220.0,0.2497
5280.0,0.2763
5340.0,0.2813
5400.0,0.2068
5460.0,0.284
5520.0,0.2412
5580.0,0.2052
5640.0,0.19399999999999998
5700.0,0.2627
5760.0,0.2407
5820.0,0.2375
5880.0,0.3913
5940.0,0.3375
6000.0,0.3085
6060.0,0.3187
6120.0,0.3167
6180.0,0.3118
6240.0,0.3047
6300.0,0.2915
6360.0,0.2668
6420.0,0.2885
6480.0,0.3137
6540.0,0.2717
6600.0,0.2887
6660.0,0.2968
6720.0,0.3242
6780.0,0.3187
6840.0,0.3057
