Time(sec),Load
0.0,0.1718
60.0,0.1297
120.0,0.1333
180.0,0.1545
240.0,0.1393
300.0,0.1595
360.0,0.205
420.0,0.17800000000000002
480.0,0.1858
540.0,0.1005
600.0,0.1052
660.0,0.1475
720.0,0.1388
780.0,0.1293
840.0,0.1428
900.0,0.129
960.0,0.1472
1020.0,0.1305
1080.0,0.1038
1140.0,0.0763
1200.0,0.0892
1260.0,0.0812
1320.0,0.0863
1380.0,0.0703
1440.0,0.081
1500.0,0.044000000000000004
1560.0,0.0773
1620.0,0.0832
1680.0,0.076
1740.0,0.0535
1800.0,0.0888
1860.0,0.0573
1920.0,0.0882
1980.0,0.0823
2040.0,0.0852
2100.0,0.0828
2160.0,0.0455
2220.0,0.1137
2280.0,0.07400000000000001
2340.0,0.081
2400.0,0.044000000000000004
2460.0,0.0867
2520.0,0.0762
2580.0,0.09
2640.0,0.0792
2700.0,0.0813
2760.0,0.0527
2820.0,0.0585
2880.0,0.1038
2940.0,0.0873
3000.0,0.0703
3060.0,0.0797
3120.0,0.0375
3180.0,0.0792
3240.0,0.0818
3300.0,0.068
3360.0,0.0762
3420.0,0.0777
3480.0,0.086
3540.0,0.0427
3600.0,0.0838
3660.0,0.0773
3720.0,0.0775
3780.0,0.0843
3840.0,0.08199999999999999
3900.0,0.0563
3960.0,0.0775
4020.0,0.0612
4080.0,0.0818
4140.0,0.0812
4200.0,0.0822
4260.0,0.0847
4320.0,0.0453
4380.0,0.0833
4440.0,0.0688
4500.0,0.083
4560.0,0.0715
4620.0,0.0815
4680.0,0.0948
4740.0,0.0633
4800.0,0.0763
4860.0,0.0797
4920.0,0.0785
4980.0,0.0688
5040.0,0.0593
5100.0,0.0855
5160.0,0.0723
5220.0,0.0547
5280.0,0.0772
5340.0,0.0832
5400.0,0.081
5460.0,0.0915
5520.0,0.0448
5580.0,0.11
5640.0,0.0927
5700.0,0.0787
5760.0,0.091
5820.0,0.0883
5880.0,0.0463
5940.0,0.081
6000.0,0.0725
6060.0,0.0737
6120.0,0.075
6180.0,0.083
6240.0,0.0665
6300.0,0.0832
6360.0,0.0665
6420.0,0.0602
6480.0,0.07400000000000001
6540.0,0.083
6600.0,0.0738
6660.0,0.0747
6720.0,0.0708
6780.0,0.0357
6840.0,0.0778
6900.0,0.0802
6960.0,0.0792
7020.0,0.0762
7080.0,0.0847
7140.0,0.0788
7200.0,0.0382
7260.0,0.0787
7320.0,0.0855
7380.0,0.0725
7440.0,0.0762
7500.0,0.0697
7560.0,0.0888
7620.0,0.061
7680.0,0.0407
7740.0,0.0718
7800.0,0.0762
7860.0,0.0727
7920.0,0.0705
7980.0,0.0727
8040.0,0.079
8100.0,0.079
8160.0,0.0
8220.0,0.0892
8280.0,0.0767
8340.0,0.0648
8400.0,0.0743
8460.0,0.065
8520.0,0.1108
8580.0,0.0808
8640.0,0.0383
8700.0,0.0688
8760.0,0.055999999999999994
8820.0,0.0722
8880.0,0.0695
8940.0,0.0827
9000.0,0.08199999999999999
9060.0,0.077
9120.0,0.0748
9180.0,0.0343
9240.0,0.0743
9300.0,0.0742
9360.0,0.0702
9420.0,0.0787
9480.0,0.0788
9540.0,0.0765
9600.0,0.0643
9660.0,0.0737
9720.0,0.073
9780.0,0.077
9840.0,0.081
9900.0,0.0375
9960.0,0.0838
10020.0,0.0535
10080.0,0.067
10140.0,0.0765
10200.0,0.063
10260.0,0.0705
10320.0,0.0658
10380.0,0.0655
10440.0,0.0683
10500.0,0.0647
10560.0,0.0677
10620.0,0.0365
10680.0,0.0752
10740.0,0.07400000000000001
10800.0,0.0643
10860.0,0.0683
10920.0,0.064
10980.0,0.0733
11040.0,0.0678
11100.0,0.0725
11160.0,0.065
11220.0,0.0613
11280.0,0.0688
11340.0,0.0552
11400.0,0.0465
11460.0,0.0683
11520.0,0.0358
11580.0,0.0695
11640.0,0.0637
11700.0,0.0715
11760.0,0.0675
11820.0,0.0785
11880.0,0.0748
11940.0,0.0632
12000.0,0.0727
12060.0,0.068
12120.0,0.0642
12180.0,0.076
12240.0,0.035
12300.0,0.0718
12360.0,0.0717
12420.0,0.0622
12480.0,0.0748
12540.0,0.065
12600.0,0.0755
12660.0,0.0322
12720.0,0.078
12780.0,0.068
12840.0,0.0697
12900.0,0.0622
12960.0,0.0677
13020.0,0.0325
13080.0,0.0635
13140.0,0.0687
13200.0,0.0697
13260.0,0.0588
13320.0,0.0642
13380.0,0.0627
13440.0,0.068
13500.0,0.0677
13560.0,0.0623
13620.0,0.068
13680.0,0.0625
13740.0,0.0683
13800.0,0.0682
13860.0,0.0695
13920.0,0.0757
13980.0,0.034
14040.0,0.0388
14100.0,0.0755
14160.0,0.0612
14220.0,0.0663
14280.0,0.06
14340.0,0.0712
14400.0,0.0583
14460.0,0.0653
14520.0,0.0675
14580.0,0.0672
14640.0,0.0683
14700.0,0.0623
14760.0,0.0667
14820.0,0.0652
14880.0,0.0623
14940.0,0.0707
15000.0,0.0798
15060.0,0.0615
15120.0,0.0355
15180.0,0.064
15240.0,0.0692
15300.0,0.0403
15360.0,0.0633
15420.0,0.613
15480.0,0.3422
15540.0,0.3595
15600.0,0.3438
15660.0,0.3445
15720.0,0.3598
15780.0,0.335
15840.0,0.3618
15900.0,0.5115
15960.0,0.6928
16020.0,0.6428
16080.0,0.6275
16140.0,0.6348
16200.0,0.5857
16260.0,0.5657
16320.0,0.5993
16380.0,0.563
16440.0,0.6127
16500.0,0.7307
16560.0,0.7413
16620.0,0.5433
16680.0,0.4965
16740.0,0.4273
16800.0,0.371
16860.0,0.3455
16920.0,0.3285
16980.0,0.3453
17040.0,0.6692
17100.0,0.5455
17160.0,0.626
17220.0,0.5783
17280.0,0.5875
17340.0,0.5832
17400.0,0.5605
17460.0,0.5495
17520.0,0.588
17580.0,0.7378
17640.0,0.551
17700.0,0.0648
17760.0,0.027000000000000003
17820.0,0.032
17880.0,0.057999999999999996
17940.0,0.0658
18000.0,0.0672
18060.0,0.0578
18120.0,0.0682
18180.0,0.033
18240.0,0.0692
18300.0,0.0662
18360.0,0.0613
18420.0,0.0655
18480.0,0.0585
18540.0,0.0665
18600.0,0.0623
18660.0,0.027000000000000003
18720.0,0.0652
18780.0,0.0593
18840.0,0.067
18900.0,0.0592
18960.0,0.0358
19020.0,0.0718
19080.0,0.0583
19140.0,0.0313
19200.0,0.0607
19260.0,0.0618
19320.0,0.0632
19380.0,0.057999999999999996
19440.0,0.065
19500.0,0.0622
19560.0,0.0657
19620.0,0.0598
19680.0,0.0672
19740.0,0.0675
19800.0,0.0623
19860.0,0.0658
19920.0,0.061
19980.0,0.0672
20040.0,0.0695
20100.0,0.0288
20160.0,0.0322
20220.0,0.0405
20280.0,0.0328
20340.0,0.0637
20400.0,0.1003
20460.0,0.569
20520.0,0.4733
20580.0,0.3228
20640.0,0.0657
20700.0,0.0765
20760.0,0.0912
20820.0,0.062
20880.0,0.0632
20940.0,0.031
21000.0,0.0662
21060.0,0.0668
21120.0,0.06
21180.0,0.0647
21240.0,0.0585
21300.0,0.065
21360.0,0.0397
21420.0,0.0312
21480.0,0.0763
21540.0,0.066
21600.0,0.0675
21660.0,0.059000000000000004
21720.0,0.0682
21780.0,0.0745
21840.0,0.0605
21900.0,0.0655
21960.0,0.0592
22020.0,0.0632
22080.0,0.0647
22140.0,0.027000000000000003
22200.0,0.0663
22260.0,0.0267
22320.0,0.0637
22380.0,0.0578
22440.0,0.0662
22500.0,0.0643
22560.0,0.0453
22620.0,0.0493
22680.0,0.0633
22740.0,0.0608
22800.0,0.0605
22860.0,0.0582
22920.0,0.0567
