Time(sec),Load
0.0,0.1047
60.0,0.1518
120.0,0.1493
180.0,0.1832
240.0,0.1648
300.0,0.1682
360.0,0.1265
420.0,0.1742
480.0,0.1722
540.0,0.1122
600.0,0.1703
660.0,0.154
720.0,0.1232
780.0,0.1645
840.0,0.146
900.0,0.1668
960.0,0.1682
1020.0,0.1635
1080.0,0.184
1140.0,0.1682
1200.0,0.1662
1260.0,0.162
1320.0,0.138
1380.0,0.135
1440.0,0.1368
1500.0,0.14300000000000002
1560.0,0.1567
1620.0,0.1595
1680.0,0.1857
1740.0,0.1807
1800.0,0.1423
1860.0,0.1263
1920.0,0.1412
1980.0,0.1467
2040.0,0.1525
2100.0,0.1313
2160.0,0.1462
2220.0,0.1493
2280.0,0.1663
2340.0,0.1498
2400.0,0.1517
2460.0,0.1232
2520.0,0.1163
2580.0,0.184
2640.0,0.1405
2700.0,0.1395
2760.0,0.1818
2820.0,0.174
2880.0,0.1087
2940.0,0.1347
3000.0,0.154
3060.0,0.1217
3120.0,0.1937
3180.0,0.1773
3240.0,0.1473
3300.0,0.1178
3360.0,0.1573
3420.0,0.154
3480.0,0.1577
3540.0,0.1268
3600.0,0.1472
3660.0,0.1635
3720.0,0.1418
3780.0,0.1143
3840.0,0.1617
3900.0,0.1465
3960.0,0.1158
4020.0,0.14800000000000002
4080.0,0.1332
4140.0,0.1622
4200.0,0.177
4260.0,0.1592
4320.0,0.1615
4380.0,0.1505
4440.0,0.139
4500.0,0.1112
4560.0,0.1565
4620.0,0.1428
4680.0,0.1203
4740.0,0.1392
4800.0,0.1517
4860.0,0.1482
4920.0,0.1603
4980.0,0.1678
5040.0,0.1707
5100.0,0.1733
5160.0,0.1555
5220.0,0.17
5280.0,0.1758
5340.0,0.1212
5400.0,0.1505
5460.0,0.1802
5520.0,0.1255
5580.0,0.1423
5640.0,0.1238
5700.0,0.1405
5760.0,0.1598
5820.0,0.1635
5880.0,0.1198
5940.0,0.1478
6000.0,0.1712
6060.0,0.1465
6120.0,0.1452
6180.0,0.1357
6240.0,0.1585
6300.0,0.152
6360.0,0.1988
6420.0,0.1872
6480.0,0.1715
6540.0,0.1532
6600.0,0.1418
6660.0,0.1748
6720.0,0.1767
6780.0,0.1522
6840.0,0.1505
6900.0,0.1263
6960.0,0.1252
7020.0,0.1227
7080.0,0.1813
7140.0,0.154
7200.0,0.1453
7260.0,0.1763
7320.0,0.1708
7380.0,0.1457
7440.0,0.1505
7500.0,0.1543
