Time(sec),Load
0.0,0.268
60.0,0.2623
120.0,0.23800000000000002
180.0,0.2028
240.0,0.2853
300.0,0.2582
360.0,0.1905
420.0,0.2713
480.0,0.2662
540.0,0.2192
600.0,0.2653
660.0,0.2525
720.0,0.282
780.0,0.3567
840.0,0.2523
900.0,0.23800000000000002
960.0,0.2048
1020.0,0.2378
1080.0,0.2448
1140.0,0.1897
1200.0,0.1937
1260.0,0.2193
1320.0,0.2017
1380.0,0.1968
1440.0,0.1933
1500.0,0.1987
1560.0,0.1828
1620.0,0.2528
1680.0,0.2487
1740.0,0.182
1800.0,0.055
1860.0,0.06
1920.0,0.063
1980.0,0.0652
2040.0,0.0878
2100.0,0.1027
2160.0,0.04
2220.0,0.0857
2280.0,0.0757
2340.0,0.07200000000000001
2400.0,0.0848
2460.0,0.0802
2520.0,0.0498
2580.0,0.0997
2640.0,0.0775
2700.0,0.0837
2760.0,0.0637
2820.0,0.0763
2880.0,0.0525
2940.0,0.0653
3000.0,0.0753
3060.0,0.0527
3120.0,0.0575
3180.0,0.0703
3240.0,0.0628
3300.0,0.047
3360.0,0.07
3420.0,0.0868
3480.0,0.0838
3540.0,0.0673
3600.0,0.0693
3660.0,0.0798
3720.0,0.0762
3780.0,0.0725
3840.0,0.0668
3900.0,0.0695
3960.0,0.0798
4020.0,0.0637
4080.0,0.0392
4140.0,0.0723
4200.0,0.0738
4260.0,0.063
4320.0,0.0548
4380.0,0.0522
4440.0,0.063
4500.0,0.0633
4560.0,0.0645
4620.0,0.0715
4680.0,0.0685
4740.0,0.064
4800.0,0.0725
4860.0,0.0635
4920.0,0.0712
4980.0,0.064
5040.0,0.0627
5100.0,0.0662
5160.0,0.0572
5220.0,0.0363
5280.0,0.0675
5340.0,0.0622
5400.0,0.0748
5460.0,0.0675
5520.0,0.0693
5580.0,0.07
5640.0,0.0607
5700.0,0.0398
5760.0,0.0587
5820.0,0.0627
5880.0,0.0583
5940.0,0.0685
6000.0,0.0692
6060.0,0.0622
6120.0,0.0683
6180.0,0.0618
6240.0,0.07200000000000001
6300.0,0.0753
6360.0,0.0438
6420.0,0.0332
6480.0,0.0712
6540.0,0.0617
6600.0,0.0635
6660.0,0.0677
6720.0,0.0682
6780.0,0.0695
6840.0,0.0305
6900.0,0.0397
6960.0,0.0832
7020.0,0.0708
7080.0,0.0678
7140.0,0.0593
7200.0,0.0667
7260.0,0.0712
7320.0,0.0615
7380.0,0.0615
7440.0,0.0577
7500.0,0.0662
7560.0,0.0387
7620.0,0.0648
7680.0,0.066
7740.0,0.0623
7800.0,0.0675
7860.0,0.06
7920.0,0.0573
7980.0,0.0695
8040.0,0.06
8100.0,0.0667
8160.0,0.0695
8220.0,0.0433
8280.0,0.0568
8340.0,0.0598
8400.0,0.0672
8460.0,0.0683
8520.0,0.063
8580.0,0.0767
8640.0,0.0702
8700.0,0.07200000000000001
8760.0,0.0685
8820.0,0.0663
8880.0,0.0693
8940.0,0.0343
9000.0,0.6413
9060.0,0.4418
9120.0,0.4115
9180.0,0.4272
9240.0,0.4112
9300.0,0.4165
9360.0,0.4148
9420.0,0.6908
9480.0,0.6313
9540.0,0.5865
9600.0,0.6268
9660.0,0.6002
9720.0,0.569
9780.0,0.5957
9840.0,0.4992
9900.0,0.6737
9960.0,0.7578
10020.0,0.7428
10080.0,0.6048
10140.0,0.5607
10200.0,0.4807
10260.0,0.4262
10320.0,0.4098
10380.0,0.5175
10440.0,0.643
10500.0,0.6015
10560.0,0.6255
10620.0,0.5497
10680.0,0.5377
10740.0,0.5668
10800.0,0.5118
10860.0,0.5972
10920.0,0.5713
10980.0,0.7243
11040.0,0.7468
11100.0,0.1695
11160.0,0.0673
11220.0,0.0642
11280.0,0.0258
11340.0,0.0623
11400.0,0.0578
11460.0,0.0678
11520.0,0.0595
11580.0,0.0627
11640.0,0.063
11700.0,0.0558
11760.0,0.040999999999999995
11820.0,0.0282
11880.0,0.0553
11940.0,0.0468
12000.0,0.062
12060.0,0.0403
12120.0,0.0608
12180.0,0.0632
12240.0,0.0595
12300.0,0.0643
12360.0,0.0637
12420.0,0.026000000000000002
12480.0,0.0648
12540.0,0.0695
12600.0,0.0697
12660.0,0.0578
12720.0,0.0628
12780.0,0.0593
12840.0,0.0562
12900.0,0.0653
12960.0,0.0262
13020.0,0.0622
13080.0,0.0558
13140.0,0.0362
13200.0,0.0637
13260.0,0.0265
13320.0,0.0588
13380.0,0.066
13440.0,0.0257
13500.0,0.0427
13560.0,0.061
13620.0,0.0625
13680.0,0.0647
13740.0,0.055
13800.0,0.0795
13860.0,0.0587
13920.0,0.111
13980.0,0.6252
14040.0,0.3845
14100.0,0.1948
14160.0,0.0572
14220.0,0.0635
14280.0,0.0427
14340.0,0.0517
14400.0,0.0637
14460.0,0.0245
14520.0,0.0643
14580.0,0.0623
14640.0,0.067
14700.0,0.026000000000000002
14760.0,0.0638
14820.0,0.0667
14880.0,0.0277
14940.0,0.0618
15000.0,0.026000000000000002
15060.0,0.0657
15120.0,0.027999999999999997
15180.0,0.0657
15240.0,0.028999999999999998
15300.0,0.0322
15360.0,0.0735
15420.0,0.0643
15480.0,0.0632
15540.0,0.0615
15600.0,0.0625
15660.0,0.0672
15720.0,0.04
15780.0,0.07
15840.0,0.0287
15900.0,0.037000000000000005
15960.0,0.0307
16020.0,0.0595
16080.0,0.0365
16140.0,0.0572
16200.0,0.0667
16260.0,0.0552
16320.0,0.0332
16380.0,0.0572
16440.0,0.0568
16500.0,0.025
16560.0,0.0578
16620.0,0.0575
16680.0,0.0577
16740.0,0.0585
16800.0,0.0558
16860.0,0.0597
16920.0,0.0587
16980.0,0.0573
17040.0,0.0385
17100.0,0.0572
17160.0,0.0553
17220.0,0.0607
17280.0,0.0583
17340.0,0.0652
17400.0,0.0567
17460.0,0.0592
17520.0,0.0567
17580.0,0.0308
17640.0,0.0542
17700.0,0.055999999999999994
17760.0,0.0585
17820.0,0.0565
17880.0,0.0343
17940.0,0.0282
18000.0,0.0578
18060.0,0.0572
18120.0,0.0555
18180.0,0.0588
18240.0,0.0265
18300.0,0.0645
18360.0,0.0585
18420.0,0.0587
18480.0,0.0293
18540.0,0.0672
18600.0,0.0242
18660.0,0.0273
18720.0,0.0282
18780.0,0.0423
18840.0,0.0335
18900.0,0.0553
18960.0,0.0807
19020.0,0.028999999999999998
19080.0,0.0687
19140.0,0.06
19200.0,0.0637
19260.0,0.026000000000000002
19320.0,0.0367
19380.0,0.064
19440.0,0.0362
19500.0,0.0382
19560.0,0.054000000000000006
19620.0,0.0673
19680.0,0.0728
19740.0,0.0633
19800.0,0.0707
19860.0,0.0373
19920.0,0.0373
19980.0,0.0342
20040.0,0.0298
20100.0,0.0672
20160.0,0.0283
20220.0,0.065
20280.0,0.0265
20340.0,0.0343
20400.0,0.0473
20460.0,0.0693
20520.0,0.0365
20580.0,0.0652
20640.0,0.0478
20700.0,0.0298
20760.0,0.0643
20820.0,0.0352
20880.0,0.0378
20940.0,0.0652
21000.0,0.0673
21060.0,0.0315
21120.0,0.0682
21180.0,0.0272
21240.0,0.0343
21300.0,0.0288
21360.0,0.0687
21420.0,0.0597
21480.0,0.0488
21540.0,0.0302
21600.0,0.0653
21660.0,0.0637
21720.0,0.0372
21780.0,0.0632
21840.0,0.0398
21900.0,0.0337
21960.0,0.0725
22020.0,0.0365
22080.0,0.0688
22140.0,0.0308
22200.0,0.0448
22260.0,0.0678
22320.0,0.0402
22380.0,0.0443
22440.0,0.0775
22500.0,0.0348
22560.0,0.0718
22620.0,0.0303
22680.0,0.0465
22740.0,0.0402
22800.0,0.07400000000000001
22860.0,0.0403
22920.0,0.0338
22980.0,0.0392
23040.0,0.0475
23100.0,0.0817
23160.0,0.0552
23220.0,0.067
23280.0,0.055999999999999994
23340.0,0.0673
23400.0,0.0798
23460.0,0.0988
23520.0,0.0767
23580.0,0.0782
23640.0,0.046
23700.0,0.0613
23760.0,0.0755
23820.0,0.0652
23880.0,0.0532
23940.0,0.0568
24000.0,0.0537
24060.0,0.1137
24120.0,0.0978
24180.0,0.0857
24240.0,0.0698
24300.0,0.0893
24360.0,0.078
24420.0,0.0867
24480.0,0.0807
24540.0,0.0923
24600.0,0.0705
24660.0,0.0815
24720.0,0.0865
24780.0,0.0478
24840.0,0.0545
24900.0,0.0708
24960.0,0.0847
25020.0,0.0792
25080.0,0.1267
25140.0,0.1025
25200.0,0.078
25260.0,0.0852
25320.0,0.0708
25380.0,0.0748
25440.0,0.0768
25500.0,0.049
25560.0,0.0853
25620.0,0.0745
25680.0,0.0878
25740.0,0.0788
25800.0,0.0855
25860.0,0.0817
25920.0,0.0893
25980.0,0.1137
26040.0,0.0935
26100.0,0.061
26160.0,0.0917
26220.0,0.0852
26280.0,0.0873
26340.0,0.0947
26400.0,0.0942
26460.0,0.0732
26520.0,0.0838
26580.0,0.0755
26640.0,0.0593
26700.0,0.0895
26760.0,0.0887
26820.0,0.0798
26880.0,0.1098
26940.0,0.0903
27000.0,0.0605
27060.0,0.0807
27120.0,0.0988
27180.0,0.1128
27240.0,0.0898
27300.0,0.0533
27360.0,0.0887
27420.0,0.0707
27480.0,0.0865
27540.0,0.0828
27600.0,0.1117
27660.0,0.0915
27720.0,0.0897
27780.0,0.10800000000000001
27840.0,0.0447
27900.0,0.0953
27960.0,0.0722
28020.0,0.0858
28080.0,0.0593
28140.0,0.105
28200.0,0.0953
28260.0,0.079
28320.0,0.0863
28380.0,0.0518
28440.0,0.0575
28500.0,0.083
28560.0,0.0947
28620.0,0.10400000000000001
28680.0,0.1035
28740.0,0.094
28800.0,0.0603
28860.0,0.094
28920.0,0.0758
28980.0,0.0982
29040.0,0.0918
29100.0,0.04
29160.0,0.1077
29220.0,0.087
29280.0,0.0848
29340.0,0.0987
29400.0,0.0927
29460.0,0.0948
29520.0,0.0487
29580.0,0.0898
29640.0,0.0807
29700.0,0.0808
29760.0,0.09
29820.0,0.0972
29880.0,0.0655
29940.0,0.0933
30000.0,0.1022
30060.0,0.0958
30120.0,0.0442
30180.0,0.0838
30240.0,0.0937
30300.0,0.0935
30360.0,0.0503
30420.0,0.1028
30480.0,0.1062
30540.0,0.0872
30600.0,0.0933
30660.0,0.0713
30720.0,0.0747
30780.0,0.1108
30840.0,0.0985
30900.0,0.0857
30960.0,0.0573
31020.0,0.0533
31080.0,0.0922
31140.0,0.0852
31200.0,0.0947
31260.0,0.0577
31320.0,0.0888
31380.0,0.1048
31440.0,0.0882
31500.0,0.0773
31560.0,0.0682
31620.0,0.0972
31680.0,0.0937
31740.0,0.0862
31800.0,0.0678
31860.0,0.0925
31920.0,0.0527
31980.0,0.1147
32040.0,0.0887
32100.0,0.0888
32160.0,0.114
32220.0,0.0783
32280.0,0.0835
32340.0,0.0803
32400.0,0.078
32460.0,0.083
32520.0,0.0773
32580.0,0.0728
32640.0,0.0792
32700.0,0.0827
32760.0,0.0878
32820.0,0.0837
32880.0,0.0805
32940.0,0.0517
33000.0,0.0728
33060.0,0.0827
33120.0,0.0978
33180.0,0.0578
33240.0,0.0885
33300.0,0.0953
33360.0,0.0968
33420.0,0.0778
33480.0,0.0625
33540.0,0.1205
33600.0,0.0983
33660.0,0.0612
33720.0,0.0967
33780.0,0.0973
33840.0,0.0523
33900.0,0.0853
33960.0,0.0852
34020.0,0.062
34080.0,0.0762
34140.0,0.1057
34200.0,0.1068
34260.0,0.094
34320.0,0.0583
34380.0,0.0923
34440.0,0.09
34500.0,0.0513
34560.0,0.1033
34620.0,0.0745
34680.0,0.08800000000000001
34740.0,0.1133
34800.0,0.105
34860.0,0.0735
34920.0,0.0918
34980.0,0.064
35040.0,0.2145
35100.0,0.077
35160.0,0.0825
35220.0,0.0807
35280.0,0.0997
35340.0,0.0505
35400.0,0.1257
35460.0,0.0917
35520.0,0.0948
35580.0,0.0803
35640.0,0.06
35700.0,0.1003
35760.0,0.0902
35820.0,0.094
35880.0,0.1127
