Time(sec),Load
0.0,0.1382
60.0,0.1398
120.0,0.1538
180.0,0.19699999999999998
240.0,0.1843
300.0,0.162
360.0,0.2007
420.0,0.1712
480.0,0.1275
540.0,0.1778
600.0,0.1298
660.0,0.1653
720.0,0.1385
780.0,0.1965
840.0,0.1635
900.0,0.1752
960.0,0.1587
1020.0,0.1668
1080.0,0.1712
1140.0,0.1725
1200.0,0.159
1260.0,0.1595
1320.0,0.179
1380.0,0.1645
1440.0,0.1308
1500.0,0.1648
1560.0,0.1555
1620.0,0.1653
1680.0,0.1775
1740.0,0.1732
1800.0,0.18
1860.0,0.1535
1920.0,0.2438
1980.0,0.1868
2040.0,0.1568
2100.0,0.1612
2160.0,0.1343
2220.0,0.2233
2280.0,0.1905
2340.0,0.1728
2400.0,0.1775
2460.0,0.1777
2520.0,0.1963
2580.0,0.2185
2640.0,0.1432
2700.0,0.1355
2760.0,0.1638
2820.0,0.2022
2880.0,0.1815
2940.0,0.185
3000.0,0.1893
3060.0,0.1402
3120.0,0.1528
3180.0,0.1448
3240.0,0.1635
3300.0,0.196
3360.0,0.159
3420.0,0.1757
3480.0,0.2142
3540.0,0.1268
3600.0,0.1718
3660.0,0.1692
3720.0,0.1488
3780.0,0.1973
3840.0,0.1768
3900.0,0.1858
3960.0,0.1538
4020.0,0.1463
4080.0,0.1562
4140.0,0.1728
4200.0,0.1423
4260.0,0.1572
4320.0,0.171
4380.0,0.1955
4440.0,0.1633
4500.0,0.1725
4560.0,0.1358
4620.0,0.1798
4680.0,0.1512
4740.0,0.168
4800.0,0.1633
4860.0,0.1328
4920.0,0.1457
4980.0,0.1397
5040.0,0.1603
5100.0,0.1255
5160.0,0.1607
5220.0,0.1365
5280.0,0.1417
5340.0,0.1653
5400.0,0.1413
5460.0,0.159
5520.0,0.1575
5580.0,0.1583
5640.0,0.1757
5700.0,0.1473
5760.0,0.1587
5820.0,0.1063
5880.0,0.1468
5940.0,0.1918
6000.0,0.1328
6060.0,0.1892
6120.0,0.161
6180.0,0.1842
6240.0,0.1333
6300.0,0.1368
6360.0,0.1457
6420.0,0.1535
6480.0,0.1638
6540.0,0.1662
6600.0,0.1483
6660.0,0.1637
6720.0,0.1617
6780.0,0.1248
6840.0,0.1995
6900.0,0.1568
6960.0,0.1722
7020.0,0.1512
7080.0,0.17
7140.0,0.177
7200.0,0.154
7260.0,0.1812
7320.0,0.1345
7380.0,0.1655
7440.0,0.1812
7500.0,0.1693
