Time(sec),Load
0.0,0.2802
60.0,0.2587
120.0,0.2708
180.0,0.2918
240.0,0.2522
300.0,0.2858
360.0,0.2875
420.0,0.2843
480.0,0.2725
540.0,0.3087
600.0,0.3038
660.0,0.2648
720.0,0.268
780.0,0.3
840.0,0.257
900.0,0.2775
960.0,0.3047
1020.0,0.2567
1080.0,0.3058
1140.0,0.2595
1200.0,0.2948
1260.0,0.2923
1320.0,0.23399999999999999
1380.0,0.2592
1440.0,0.2283
1500.0,0.2323
1560.0,0.26
1620.0,0.287
1680.0,0.3028
1740.0,0.2793
1800.0,0.2307
1860.0,0.263
1920.0,0.2393
1980.0,0.2883
2040.0,0.298
2100.0,0.213
2160.0,0.2322
2220.0,0.2685
2280.0,0.2275
2340.0,0.2442
2400.0,0.2552
2460.0,0.23600000000000002
2520.0,0.215
2580.0,0.2602
2640.0,0.23399999999999999
2700.0,0.2815
2760.0,0.271
2820.0,0.2702
2880.0,0.2687
2940.0,0.2972
3000.0,0.2022
3060.0,0.2438
3120.0,0.2067
3180.0,0.2427
3240.0,0.2438
3300.0,0.198
3360.0,0.2923
3420.0,0.2242
3480.0,0.2608
3540.0,0.2308
3600.0,0.266
3660.0,0.2832
3720.0,0.2792
3780.0,0.2428
3840.0,0.3113
3900.0,0.2435
3960.0,0.2677
4020.0,0.2978
4080.0,0.24
4140.0,0.2377
4200.0,0.2715
4260.0,0.258
4320.0,0.2938
4380.0,0.2267
4440.0,0.2427
4500.0,0.2705
4560.0,0.2708
4620.0,0.265
4680.0,0.2777
4740.0,0.2678
4800.0,0.2712
4860.0,0.1818
4920.0,0.235
4980.0,0.2677
5040.0,0.2772
5100.0,0.2335
5160.0,0.2552
5220.0,0.23600000000000002
5280.0,0.2655
5340.0,0.2737
5400.0,0.2383
5460.0,0.2255
5520.0,0.256
5580.0,0.2263
5640.0,0.2592
5700.0,0.24
5760.0,0.2457
5820.0,0.2427
5880.0,0.244
5940.0,0.2758
6000.0,0.2627
6060.0,0.2837
6120.0,0.2608
6180.0,0.2787
6240.0,0.2518
6300.0,0.221
6360.0,0.2978
6420.0,0.2432
6480.0,0.2933
6540.0,0.2653
6600.0,0.2602
6660.0,0.3073
6720.0,0.2853
6780.0,0.255
6840.0,0.2712
6900.0,0.2503
6960.0,0.2657
7020.0,0.2555
7080.0,0.2747
7140.0,0.2862
7200.0,0.2715
7260.0,0.256
7320.0,0.3093
7380.0,0.23
7440.0,0.205
7500.0,0.2015
7560.0,0.2785
7620.0,0.2422
7680.0,0.29
7740.0,0.2568
7800.0,0.2998
7860.0,0.2768
7920.0,0.2785
7980.0,0.2685
8040.0,0.2138
8100.0,0.2558
8160.0,0.2982
8220.0,0.2505
8280.0,0.2958
8340.0,0.2317
8400.0,0.2328
8460.0,0.2438
8520.0,0.2612
8580.0,0.2413
8640.0,0.2645
8700.0,0.2812
8760.0,0.326
8820.0,0.2265
8880.0,0.2595
8940.0,0.28300000000000003
9000.0,0.2553
9060.0,0.3118
9120.0,0.2932
9180.0,0.2635
9240.0,0.2262
9300.0,0.2402
9360.0,0.2365
9420.0,0.26
9480.0,0.299
9540.0,0.2325
9600.0,0.2882
9660.0,0.2422
9720.0,0.268
9780.0,0.2775
9840.0,0.2418
9900.0,0.2263
9960.0,0.3273
10020.0,0.2772
10080.0,0.2723
10140.0,0.2747
10200.0,0.2707
10260.0,0.23
10320.0,0.2263
10380.0,0.2917
10440.0,0.261
10500.0,0.2488
10560.0,0.2512
10620.0,0.2478
10680.0,0.22899999999999998
10740.0,0.3158
10800.0,0.2327
10860.0,0.252
10920.0,0.2382
10980.0,0.2508
11040.0,0.22899999999999998
11100.0,0.2232
11160.0,0.311
11220.0,0.26
11280.0,0.2393
11340.0,0.2652
11400.0,0.2742
11460.0,0.2293
11520.0,0.2183
11580.0,0.2175
11640.0,0.243
11700.0,0.2767
11760.0,0.2332
11820.0,0.228
11880.0,0.2903
11940.0,0.2377
12000.0,0.2293
12060.0,0.22
12120.0,0.2323
12180.0,0.309
12240.0,0.2227
12300.0,0.2505
12360.0,0.2288
12420.0,0.23
12480.0,0.2668
12540.0,0.2762
12600.0,0.2307
12660.0,0.27899999999999997
12720.0,0.242
12780.0,0.2812
12840.0,0.2708
12900.0,0.2907
12960.0,0.2458
13020.0,0.2592
13080.0,0.2443
13140.0,0.1927
13200.0,0.3213
13260.0,0.2508
13320.0,0.2833
13380.0,0.2477
13440.0,0.247
13500.0,0.2655
13560.0,0.2848
13620.0,0.249
13680.0,0.223
13740.0,0.263
13800.0,0.249
13860.0,0.2712
13920.0,0.2518
13980.0,0.2023
14040.0,0.2303
14100.0,0.2695
14160.0,0.2537
14220.0,0.2468
14280.0,0.266
14340.0,0.2477
14400.0,0.2178
14460.0,0.2625
14520.0,0.2285
14580.0,0.2938
14640.0,0.2835
14700.0,0.2185
14760.0,0.2523
14820.0,0.188
14880.0,0.2125
14940.0,0.251
15000.0,0.261
15060.0,0.26899999999999996
15120.0,0.2568
15180.0,0.2285
15240.0,0.2135
15300.0,0.2285
15360.0,0.2565
15420.0,0.2445
15480.0,0.2683
15540.0,0.2412
15600.0,0.2457
15660.0,0.2248
15720.0,0.1748
15780.0,0.2322
15840.0,0.1942
15900.0,0.2662
15960.0,0.2457
16020.0,0.2833
16080.0,0.2968
16140.0,0.2338
16200.0,0.2702
16260.0,0.2483
16320.0,0.2753
16380.0,0.2338
16440.0,0.2322
16500.0,0.2282
16560.0,0.252
16620.0,0.2458
16680.0,0.22699999999999998
16740.0,0.3147
16800.0,0.2667
16860.0,0.2247
16920.0,0.2798
16980.0,0.2255
17040.0,0.2542
17100.0,0.2758
17160.0,0.3173
17220.0,0.2748
17280.0,0.1988
17340.0,0.2485
17400.0,0.2325
17460.0,0.2708
17520.0,0.2937
17580.0,0.22699999999999998
17640.0,0.2408
17700.0,0.2827
17760.0,0.2602
17820.0,0.2783
17880.0,0.2855
17940.0,0.3048
18000.0,0.23
18060.0,0.2802
18120.0,0.2505
18180.0,0.235
18240.0,0.2733
18300.0,0.2167
18360.0,0.2523
18420.0,0.2307
18480.0,0.2532
18540.0,0.2475
18600.0,0.2762
18660.0,0.263
18720.0,0.2387
18780.0,0.2318
18840.0,0.2357
18900.0,0.237
18960.0,0.2772
19020.0,0.2142
19080.0,0.223
19140.0,0.20800000000000002
19200.0,0.317
19260.0,0.2467
19320.0,0.2668
19380.0,0.2637
19440.0,0.1985
19500.0,0.2412
19560.0,0.2637
19620.0,0.2368
19680.0,0.2562
19740.0,0.2665
19800.0,0.2352
19860.0,0.2657
19920.0,0.2358
19980.0,0.2395
20040.0,0.25
20100.0,0.2162
20160.0,0.18600000000000003
20220.0,0.2855
20280.0,0.1803
20340.0,0.2753
20400.0,0.2693
20460.0,0.2585
20520.0,0.2255
20580.0,0.1847
20640.0,0.2502
20700.0,0.2622
20760.0,0.3115
20820.0,0.2557
20880.0,0.2128
20940.0,0.235
21000.0,0.2467
21060.0,0.2413
21120.0,0.2363
21180.0,0.214
21240.0,0.22899999999999998
21300.0,0.2265
21360.0,0.1922
21420.0,0.2263
21480.0,0.2797
21540.0,0.2315
21600.0,0.2233
21660.0,0.263
21720.0,0.1975
21780.0,0.2312
21840.0,0.2628
21900.0,0.2362
21960.0,0.2307
22020.0,0.205
22080.0,0.2662
22140.0,0.2307
22200.0,0.2567
22260.0,0.242
22320.0,0.2138
22380.0,0.213
22440.0,0.2662
22500.0,0.2343
22560.0,0.2752
22620.0,0.2338
22680.0,0.2402
22740.0,0.2883
22800.0,0.2685
22860.0,0.2442
22920.0,0.2377
22980.0,0.2623
23040.0,0.2033
23100.0,0.2423
23160.0,0.2475
23220.0,0.2368
23280.0,0.2493
23340.0,0.223
23400.0,0.2227
23460.0,0.23600000000000002
23520.0,0.2652
23580.0,0.2398
23640.0,0.273
23700.0,0.1943
23760.0,0.2265
23820.0,0.2713
23880.0,0.2435
23940.0,0.2707
24000.0,0.2698
24060.0,0.2643
24120.0,0.2545
24180.0,0.2035
24240.0,0.2872
24300.0,0.243
24360.0,0.2802
24420.0,0.2548
24480.0,0.195
24540.0,0.2153
24600.0,0.2462
24660.0,0.2383
24720.0,0.2508
24780.0,0.2615
24840.0,0.2207
24900.0,0.2393
24960.0,0.2243
25020.0,0.2273
25080.0,0.2225
25140.0,0.2358
25200.0,0.2697
25260.0,0.2948
25320.0,0.2662
25380.0,0.2102
25440.0,0.2112
25500.0,0.2593
25560.0,0.2185
25620.0,0.2803
25680.0,0.2857
25740.0,0.2522
25800.0,0.2787
25860.0,0.2295
25920.0,0.2707
25980.0,0.2487
26040.0,0.2437
26100.0,0.2497
26160.0,0.235
26220.0,0.2555
26280.0,0.1938
26340.0,0.1855
26400.0,0.2873
26460.0,0.2452
26520.0,0.1958
26580.0,0.2202
26640.0,0.256
26700.0,0.2895
26760.0,0.2145
26820.0,0.2443
26880.0,0.2582
26940.0,0.2128
27000.0,0.2228
27060.0,0.2922
27120.0,0.2433
27180.0,0.2563
27240.0,0.2282
27300.0,0.1785
27360.0,0.2305
27420.0,0.2453
27480.0,0.2515
27540.0,0.2435
27600.0,0.237
27660.0,0.2682
27720.0,0.2202
27780.0,0.2707
27840.0,0.2235
27900.0,0.2823
27960.0,0.2702
28020.0,0.2325
28080.0,0.205
28140.0,0.1963
28200.0,0.2697
28260.0,0.2138
28320.0,0.2695
28380.0,0.2265
28440.0,0.2768
28500.0,0.2755
28560.0,0.2507
28620.0,0.2143
28680.0,0.2598
28740.0,0.2635
28800.0,0.2552
28860.0,0.3405
28920.0,0.214
28980.0,0.2292
29040.0,0.2553
29100.0,0.2573
29160.0,0.2603
29220.0,0.2358
29280.0,0.2632
29340.0,0.2962
29400.0,0.255
29460.0,0.2945
29520.0,0.2595
29580.0,0.2928
29640.0,0.2417
29700.0,0.2793
29760.0,0.27899999999999997
29820.0,0.261
29880.0,0.271
29940.0,0.245
