Year,DOY,hour,minute,Global Horiz [W/m^2]
2018,1,0,5,-1.8492
2018,1,0,6,-1.8492
2018,1,0,7,-1.8492
2018,1,0,8,-1.8492
2018,1,0,9,-1.8492
2018,1,0,10,-1.8492
2018,1,0,11,-1.8492
2018,1,0,12,-1.8492
2018,1,0,13,-1.8492
2018,1,0,14,-1.8492
2018,1,0,15,-1.8492
2018,1,0,16,-1.8492
2018,1,0,17,-1.8492
2018,1,0,18,-1.8492
2018,1,0,19,-1.8338
2018,1,0,20,-1.6488
2018,1,0,21,-1.4793
2018,1,0,22,-1.4608
2018,1,0,23,-1.1588
2018,1,0,24,-1.1033
2018,1,0,25,-0.82288
2018,1,0,26,-0.73967
2018,1,0,27,-0.73967
2018,1,0,28,-0.73967
2018,1,0,29,-0.83521
2018,1,0,30,-0.99855
2018,1,0,31,-1.0232
2018,1,0,32,-0.93075
2018,1,0,33,-1.0879
2018,1,0,34,-1.1064
2018,1,0,35,-1.1342
2018,1,0,36,-1.2605
2018,1,0,37,-1.4331
2018,1,0,38,-1.4763
2018,1,0,39,-1.4917
2018,1,0,40,-1.7567
2018,1,0,41,-1.8492
2018,1,0,42,-1.8492
2018,1,0,43,-1.8492
2018,1,0,44,-1.8492
2018,1,0,45,-1.8492
2018,1,0,46,-1.8492
2018,1,0,47,-1.8492
2018,1,0,48,-1.8492
2018,1,0,49,-1.8492
2018,1,0,50,-1.8522
2018,1,0,51,-2.105
2018,1,0,52,-2.2128
2018,1,0,53,-2.1512
2018,1,0,54,-2.0865
2018,1,0,55,-2.031
2018,1,0,56,-2.1635
2018,1,0,57,-2.2221
2018,1,0,58,-2.2714
2018,1,0,59,-2.3299
2018,1,1,0,-2.444
2018,1,1,1,-2.333
2018,1,1,2,-2.2344
2018,1,1,3,-2.2375
2018,1,1,4,-2.521
2018,1,1,5,-2.5888
2018,1,1,6,-2.5888
2018,1,1,7,-2.5888
2018,1,1,8,-2.5888
2018,1,1,9,-2.5888
2018,1,1,10,-2.5888
2018,1,1,11,-2.5888
2018,1,1,12,-2.5673
2018,1,1,13,-2.5272
2018,1,1,14,-2.3084
2018,1,1,15,-2.2313
2018,1,1,16,-2.219
2018,1,1,17,-2.2159
2018,1,1,18,-2.219
2018,1,1,19,-2.3053
2018,1,1,20,-2.5488
2018,1,1,21,-2.9556
2018,1,1,22,-3.5442
2018,1,1,23,-3.8216
2018,1,1,24,-4.0682
2018,1,1,25,-4.25
2018,1,1,26,-4.4318
2018,1,1,27,-4.438
2018,1,1,28,-4.438
2018,1,1,29,-4.438
2018,1,1,30,-4.438
2018,1,1,31,-4.438
2018,1,1,32,-4.4287
2018,1,1,33,-4.2068
2018,1,1,34,-4.0836
2018,1,1,35,-4.3517
2018,1,1,36,-4.4719
2018,1,1,37,-4.7061
2018,1,1,38,-4.5582
2018,1,1,39,-4.3609
2018,1,1,40,-3.9973
2018,1,1,41,-3.6983
2018,1,1,42,-3.4888
2018,1,1,43,-3.6336
2018,1,1,44,-3.6983
2018,1,1,45,-3.6983
2018,1,1,46,-3.6583
2018,1,1,47,-3.3439
2018,1,1,48,-3.122
2018,1,1,49,-2.9587
2018,1,1,50,-2.9587
2018,1,1,51,-2.934
2018,1,1,52,-2.8724
2018,1,1,53,-2.6628
2018,1,1,54,-2.5889
2018,1,1,55,-2.5889
2018,1,1,56,-2.5919
2018,1,1,57,-2.8971
2018,1,1,58,-2.9587
2018,1,1,59,-2.9587
2018,1,2,0,-2.9649
2018,1,2,1,-2.7491
2018,1,2,2,-2.5765
2018,1,2,3,-2.2807
2018,1,2,4,-2.219
2018,1,2,5,-2.219
2018,1,2,6,-2.219
2018,1,2,7,-2.219
2018,1,2,8,-2.1851
2018,1,2,9,-2.1821
2018,1,2,10,-2.219
2018,1,2,11,-2.2776
2018,1,2,12,-2.5087
2018,1,2,13,-2.5673
2018,1,2,14,-2.2529
2018,1,2,15,-2.216
2018,1,2,16,-1.9756
2018,1,2,17,-1.8492
2018,1,2,18,-1.8492
2018,1,2,19,-1.8492
2018,1,2,20,-1.9139
2018,1,2,21,-2.1882
2018,1,2,22,-2.2252
2018,1,2,23,-2.3454
2018,1,2,24,-2.4625
2018,1,2,25,-2.2992
2018,1,2,26,-2.219
2018,1,2,27,-2.219
2018,1,2,28,-2.219
2018,1,2,29,-2.219
2018,1,2,30,-2.0896
2018,1,2,31,-1.8615
2018,1,2,32,-1.6735
2018,1,2,33,-1.4301
2018,1,2,34,-1.1034
2018,1,2,35,-1.0047
2018,1,2,36,-0.94001
2018,1,2,37,-1.088
2018,1,2,38,-0.92769
2018,1,2,39,-0.74585
2018,1,2,40,-0.80749
2018,1,2,41,-1.1003
2018,1,2,42,-1.2698
2018,1,2,43,-1.2605
2018,1,2,44,-1.1588
2018,1,2,45,-1.2698
2018,1,2,46,-1.2945
2018,1,2,47,-1.1496
2018,1,2,48,-1.1095
2018,1,2,49,-1.2975
2018,1,2,50,-1.5533
2018,1,2,51,-1.8369
2018,1,2,52,-1.8492
2018,1,2,53,-1.8492
2018,1,2,54,-1.8492
2018,1,2,55,-1.8492
2018,1,2,56,-1.8492
2018,1,2,57,-1.8492
2018,1,2,58,-1.8492
2018,1,2,59,-1.8492
2018,1,3,0,-2.1358
2018,1,3,1,-2.4903
2018,1,3,2,-2.5981
2018,1,3,3,-2.6012
2018,1,3,4,-2.6659
2018,1,3,5,-2.9464
2018,1,3,6,-2.9957
2018,1,3,7,-3.3101
2018,1,3,8,-3.4333
2018,1,3,9,-3.6861
2018,1,3,10,-3.8186
2018,1,3,11,-4.0682
2018,1,3,12,-4.0652
2018,1,3,13,-4.0682
2018,1,3,14,-4.0682
2018,1,3,15,-4.0682
2018,1,3,16,-4.0898
2018,1,3,17,-4.3641
2018,1,3,18,-4.4381
2018,1,3,19,-4.6261
2018,1,3,20,-4.8018
2018,1,3,21,-4.8079
2018,1,3,22,-4.7401
2018,1,3,23,-4.4412
2018,1,3,24,-4.1946
2018,1,3,25,-4.0621
2018,1,3,26,-3.9573
2018,1,3,27,-3.8278
2018,1,3,28,-3.9357
2018,1,3,29,-3.8895
2018,1,3,30,-4.0374
2018,1,3,31,-4.2316
2018,1,3,32,-4.4381
2018,1,3,33,-4.4381
2018,1,3,34,-4.2994
2018,1,3,35,-4.0683
2018,1,3,36,-4.1977
2018,1,3,37,-4.1761
2018,1,3,38,-4.0744
2018,1,3,39,-4.0683
2018,1,3,40,-3.9511
2018,1,3,41,-3.7447
2018,1,3,42,-3.7077
2018,1,3,43,-3.4704
2018,1,3,44,-3.3286
2018,1,3,45,-3.3255
2018,1,3,46,-3.3286
2018,1,3,47,-3.3286
2018,1,3,48,-3.3101
2018,1,3,49,-3.1714
2018,1,3,50,-3.3009
2018,1,3,51,-3.3286
