Year,DOY,hour,minute,Global Horiz [W/m^2]
2017,125,18,0,207.62
2017,125,18,1,197.79
2017,125,18,2,168.49
2017,125,18,3,187.62
2017,125,18,4,184.04
2017,125,18,5,167
2017,125,18,6,137.17
2017,125,18,7,129.17
2017,125,18,8,128.28
2017,125,18,9,125.13
2017,125,18,10,122.16
2017,125,18,11,120.38
2017,125,18,12,119.67
2017,125,18,13,116.16
2017,125,18,14,111.5
2017,125,18,15,109.32
2017,125,18,16,107.04
2017,125,18,17,104.27
2017,125,18,18,102.27
2017,125,18,19,100.18
2017,125,18,20,98.04
2017,125,18,21,95.317
2017,125,18,22,92.668
2017,125,18,23,93.879
2017,125,18,24,84.863
2017,125,18,25,73.054
2017,125,18,26,66.644
2017,125,18,27,63.86
2017,125,18,28,64.843
2017,125,18,29,65.182
2017,125,18,30,62.469
2017,125,18,31,58.984
2017,125,18,32,49.607
2017,125,18,33,39.554
2017,125,18,34,37.235
2017,125,18,35,34.786
2017,125,18,36,32.67
2017,125,18,37,30.108
2017,125,18,38,28.629
2017,125,18,39,32.653
2017,125,18,40,40.369
2017,125,18,41,49.213
2017,125,18,42,57.886
2017,125,18,43,59.774
2017,125,18,44,58.527
2017,125,18,45,58.17
2017,125,18,46,56.599
2017,125,18,47,60.354
2017,125,18,48,66.045
2017,125,18,49,62.493
2017,125,18,50,60.46
2017,125,18,51,61.868
2017,125,18,52,56.723
2017,125,18,53,49.906
2017,125,18,54,46.139
2017,125,18,55,43.952
2017,125,18,56,41.016
2017,125,18,57,38.642
2017,125,18,58,37.395
2017,125,18,59,34.271
2017,125,19,0,32.808
2017,125,19,1,30.914
2017,125,19,2,31.003
2017,125,19,3,30.137
2017,125,19,4,27.318
2017,125,19,5,24.41
2017,125,19,6,20.864
2017,125,19,7,18.171
2017,125,19,8,15.5
2017,125,19,9,14.117
2017,125,19,10,12.592
2017,125,19,11,11.196
2017,125,19,12,10.152
2017,125,19,13,8.741
2017,125,19,14,7.5055
2017,125,19,15,6.1777
2017,125,19,16,4.4707
2017,125,19,17,3.0688
2017,125,19,18,2.126
2017,125,19,19,1.6238
2017,125,19,20,0.93976
2017,125,19,21,0.28655
2017,125,19,22,-0.36974
2017,125,19,23,-0.96134
2017,125,19,24,-1.1092
2017,125,19,25,-1.5283
2017,125,19,26,-1.8457
2017,125,19,27,-1.8518
2017,125,19,28,-1.8487
2017,125,19,29,-1.9597
2017,125,19,30,-2.2
2017,125,19,31,-2.2185
2017,125,19,32,-2.2185
2017,125,19,33,-1.9936
2017,125,19,34,-1.8488
2017,125,19,35,-1.8488
2017,125,19,36,-1.8488
2017,125,19,37,-1.8488
2017,125,19,38,-1.8488
2017,125,19,39,-1.8488
2017,125,19,40,-1.8488
2017,125,19,41,-1.8488
2017,125,19,42,-1.8488
2017,125,19,43,-1.8488
2017,125,19,44,-1.8919
2017,125,19,45,-1.9566
2017,125,19,46,-1.8519
2017,125,19,47,-1.8488
2017,125,19,48,-1.7256
2017,125,19,49,-1.1678
2017,125,19,50,-1.2325
2017,125,19,51,-1.8149
2017,125,19,52,-1.8488
2017,125,19,53,-1.8488
2017,125,19,54,-1.8488
2017,125,19,55,-1.8488
2017,125,19,56,-1.8488
2017,125,19,57,-1.8488
2017,125,19,58,-1.8488
2017,125,19,59,-1.8488
2017,125,20,0,-1.8334
2017,125,20,1,-1.5068
2017,125,20,2,-1.137
2017,125,20,3,-1.1093
2017,125,20,4,-1.1001
2017,125,20,5,-1.0015
2017,125,20,6,-0.89052
2017,125,20,7,-0.71488
2017,125,20,8,-0.68407
2017,125,20,9,-0.65017
2017,125,20,10,-0.64401
2017,125,20,11,-0.4807
2017,125,20,12,-0.50227
2017,125,20,13,-0.91518
2017,125,20,14,-1.1093
2017,125,20,15,-1.1093
2017,125,20,16,-1.1093
2017,125,20,17,-1.137
2017,125,20,18,-1.4113
2017,125,20,19,-1.4113
2017,125,20,20,-1.1617
2017,125,20,21,-1.1309
2017,125,20,22,-1.1093
2017,125,20,23,-1.1093
2017,125,20,24,-1.1093
2017,125,20,25,-1.1093
2017,125,20,26,-1.1093
2017,125,20,27,-1.1093
2017,125,20,28,-1.1093
2017,125,20,29,-1.1093
2017,125,20,30,-1.1093
2017,125,20,31,-1.2726
2017,125,20,32,-1.8242
2017,125,20,33,-1.8488
2017,125,20,34,-1.8489
2017,125,20,35,-1.8489
2017,125,20,36,-1.8519
2017,125,20,37,-2.1231
2017,125,20,38,-2.2186
2017,125,20,39,-2.2186
2017,125,20,40,-2.1354
2017,125,20,41,-1.8489
2017,125,20,42,-1.8489
2017,125,20,43,-1.9012
2017,125,20,44,-2.2186
2017,125,20,45,-2.2186
2017,125,20,46,-2.2186
2017,125,20,47,-2.2186
2017,125,20,48,-2.2186
2017,125,20,49,-2.2155
2017,125,20,50,-2.2186
2017,125,20,51,-2.2186
2017,125,20,52,-2.2186
2017,125,20,53,-2.2186
2017,125,20,54,-2.2186
2017,125,20,55,-2.2186
2017,125,20,56,-2.2186
2017,125,20,57,-2.2186
2017,125,20,58,-2.2186
2017,125,20,59,-2.2186
2017,125,21,0,-2.2186
2017,125,21,1,-1.9505
2017,125,21,2,-1.8489
2017,125,21,3,-1.8489
2017,125,21,4,-1.8489
2017,125,21,5,-1.8489
2017,125,21,6,-1.8489
2017,125,21,7,-1.8489
2017,125,21,8,-1.8489
2017,125,21,9,-1.8489
2017,125,21,10,-1.8489
2017,125,21,11,-1.8489
2017,125,21,12,-1.852
2017,125,21,13,-1.8489
2017,125,21,14,-1.8273
2017,125,21,15,-1.208
2017,125,21,16,-1.1093
2017,125,21,17,-1.0107
2017,125,21,18,-0.40369
2017,125,21,19,-0.36979
2017,125,21,20,-0.3698
2017,125,21,21,-0.3698
2017,125,21,22,-0.3698
2017,125,21,23,-0.3698
2017,125,21,24,-0.3698
2017,125,21,25,-0.3698
2017,125,21,26,-0.3698
2017,125,21,27,-0.36981
2017,125,21,28,-0.36981
2017,125,21,29,-0.3698
2017,125,21,30,-0.3698
2017,125,21,31,-0.38829
2017,125,21,32,-0.65639
2017,125,21,33,-1.0816
2017,125,21,34,-1.1094
2017,125,21,35,-1.1094
2017,125,21,36,-1.1402
2017,125,21,37,-1.51
2017,125,21,38,-1.8244
2017,125,21,39,-1.849
2017,125,21,40,-1.849
2017,125,21,41,-1.849
2017,125,21,42,-1.849
2017,125,21,43,-1.849
2017,125,21,44,-2.0401
2017,125,21,45,-2.2157
2017,125,21,46,-2.2188
2017,125,21,47,-2.2188
2017,125,21,48,-2.2188
2017,125,21,49,-2.2188
2017,125,21,50,-2.2187
2017,125,21,51,-2.6902
2017,125,21,52,-2.9583
2017,125,21,53,-2.9583
2017,125,21,54,-2.9583
2017,125,21,55,-2.7642
2017,125,21,56,-2.9367
2017,125,21,57,-2.9583
2017,125,21,58,-2.9583
2017,125,21,59,-2.9583
2017,125,22,0,-2.9583
2017,125,22,1,-2.9583
2017,125,22,2,-2.9584
2017,125,22,3,-2.9584
2017,125,22,4,-2.9584
2017,125,22,5,-2.9583
2017,125,22,6,-2.9583
2017,125,22,7,-2.9583
2017,125,22,8,-2.9059
2017,125,22,9,-2.9552
2017,125,22,10,-2.9583
2017,125,22,11,-2.9522
2017,125,22,12,-2.9461
2017,125,22,13,-2.9584
2017,125,22,14,-2.9585
2017,125,22,15,-2.8968
2017,125,22,16,-2.4839
2017,125,22,17,-2.2189
2017,125,22,18,-2.2189
2017,125,22,19,-2.2189
2017,125,22,20,-2.2189
2017,125,22,21,-2.2189
2017,125,22,22,-2.2189
2017,125,22,23,-2.219
2017,125,22,24,-2.219
2017,125,22,25,-2.219
2017,125,22,26,-2.219
2017,125,22,27,-2.0495
2017,125,22,28,-1.8522
2017,125,22,29,-1.8492
2017,125,22,30,-1.8492
2017,125,22,31,-1.8492
2017,125,22,32,-1.8492
2017,125,22,33,-1.8492
2017,125,22,34,-2.0618
2017,125,22,35,-2.2159
2017,125,22,36,-2.219
2017,125,22,37,-2.219
2017,125,22,38,-2.219
2017,125,22,39,-2.219
2017,125,22,40,-2.2221
2017,125,22,41,-2.5118
2017,125,22,42,-2.5611
2017,125,22,43,-2.2468
2017,125,22,44,-2.2252
2017,125,22,45,-2.2221
2017,125,22,46,-2.219
2017,125,22,47,-2.2036
2017,125,22,48,-2.2036
2017,125,22,49,-2.219
2017,125,22,50,-2.219
2017,125,22,51,-2.2992
2017,125,22,52,-2.9433
2017,125,22,53,-2.9587
2017,125,22,54,-2.8447
2017,125,22,55,-2.6783
2017,125,22,56,-2.6382
2017,125,22,57,-2.9495
2017,125,22,58,-2.4779
2017,125,22,59,-2.2191
2017,125,23,0,-2.2499
2017,125,23,1,-2.5057
2017,125,23,2,-2.3238
2017,125,23,3,-2.2191
2017,125,23,4,-2.2191
2017,125,23,5,-2.2191
2017,125,23,6,-2.2191
2017,125,23,7,-2.2191
2017,125,23,8,-2.2191
2017,125,23,9,-2.1451
2017,125,23,10,-2.1882
2017,125,23,11,-2.2191
2017,125,23,12,-2.2191
2017,125,23,13,-2.2191
2017,125,23,14,-2.0435
2017,125,23,15,-1.874
2017,125,23,16,-1.8678
2017,125,23,17,-2.062
2017,125,23,18,-2.2069
2017,125,23,19,-2.2192
2017,125,23,20,-2.2192
2017,125,23,21,-2.398
2017,125,23,22,-2.6076
2017,125,23,23,-2.9066
2017,125,23,24,-2.6909
2017,125,23,25,-2.2193
2017,125,23,26,-2.2193
2017,125,23,27,-2.2192
2017,125,23,28,-2.2192
2017,125,23,29,-2.2192
2017,125,23,30,-2.2193
2017,125,23,31,-2.2193
2017,125,23,32,-2.2193
2017,125,23,33,-2.2193
2017,125,23,34,-2.2193
2017,125,23,35,-2.2193
2017,125,23,36,-2.2193
2017,125,23,37,-2.2193
2017,125,23,38,-2.2193
2017,125,23,39,-2.2194
2017,125,23,40,-2.2194
2017,125,23,41,-2.2194
2017,125,23,42,-2.2194
2017,125,23,43,-2.2225
2017,125,23,44,-2.3119
2017,125,23,45,-2.4598
2017,125,23,46,-2.2348
2017,125,23,47,-2.2194
2017,125,23,48,-2.2194
2017,125,23,49,-2.2194
2017,125,23,50,-2.2194
2017,125,23,51,-2.2193
2017,125,23,52,-2.2193
2017,125,23,53,-2.2224
2017,125,23,54,-2.3889
2017,125,23,55,-2.8328
2017,125,23,56,-2.9252
2017,125,23,57,-2.3519
2017,125,23,58,-2.2194
2017,125,23,59,-2.2194
2017,126,0,0,-2.2194
2017,126,0,1,-2.2194
2017,126,0,2,-2.2194
2017,126,0,3,-2.2194
2017,126,0,4,-2.2194
2017,126,0,5,-2.2194
2017,126,0,6,-2.2194
2017,126,0,7,-2.2194
2017,126,0,8,-2.2194
2017,126,0,9,-2.2194
2017,126,0,10,-2.2194
2017,126,0,11,-2.2193
2017,126,0,12,-2.2193
2017,126,0,13,-2.2193
2017,126,0,14,-2.2194
2017,126,0,15,-2.2194
2017,126,0,16,-2.2194
2017,126,0,17,-2.2194
2017,126,0,18,-2.2194
2017,126,0,19,-2.2194
2017,126,0,20,-2.2194
2017,126,0,21,-2.2194
2017,126,0,22,-2.2194
2017,126,0,23,-2.2194
2017,126,0,24,-2.2194
2017,126,0,25,-2.2256
2017,126,0,26,-2.2256
2017,126,0,27,-2.3427
2017,126,0,28,-2.4414
2017,126,0,29,-2.5246
2017,126,0,30,-2.9438
2017,126,0,31,-2.9592
2017,126,0,32,-2.9592
2017,126,0,33,-2.9592
2017,126,0,34,-2.9592
2017,126,0,35,-2.9592
2017,126,0,36,-2.9408
2017,126,0,37,-2.9593
2017,126,0,38,-2.4568
2017,126,0,39,-2.5277
2017,126,0,40,-2.913
2017,126,0,41,-2.9593
2017,126,0,42,-2.9593
2017,126,0,43,-2.9593
2017,126,0,44,-2.8853
2017,126,0,45,-2.5524
2017,126,0,46,-2.2595
2017,126,0,47,-2.4013
2017,126,0,48,-2.6757
2017,126,0,49,-2.9593
2017,126,0,50,-2.5709
2017,126,0,51,-2.4291
2017,126,0,52,-2.3088
2017,126,0,53,-2.2195
2017,126,0,54,-2.2195
