Year,DOY,hour,minute,Global Horizontal [W/m^2]
2017,126,23,0,-2.5337
2017,126,23,1,-2.55071
2017,126,23,2,-2.51103
2017,126,23,3,-2.55071
2017,126,23,4,-2.52237
2017,126,23,5,-2.60173
2017,126,23,6,-2.61873
2017,126,23,7,-2.56772
2017,126,23,8,-2.54505
2017,126,23,9,-2.50537
2017,126,23,10,-2.46569
2017,126,23,11,-2.48836
2017,126,23,12,-2.49404
2017,126,23,13,-2.44869
2017,126,23,14,-2.46004
2017,126,23,15,-2.49972
2017,126,23,16,-2.5054
2017,126,23,17,-2.43171
2017,126,23,18,-2.43172
2017,126,23,19,-2.46006
2017,126,23,20,-2.49974
2017,126,23,21,-2.4714
2017,126,23,22,-2.44306
2017,126,23,23,-2.40905
2017,126,23,24,-2.40905
2017,126,23,25,-2.46006
2017,126,23,26,-2.42038
2017,126,23,27,-2.43738
2017,126,23,28,-2.3807
2017,126,23,29,-2.40904
2017,126,23,30,-2.3807
2017,126,23,31,-2.38636
2017,126,23,32,-2.38636
2017,126,23,33,-2.38069
2017,126,23,34,-2.38636
2017,126,23,35,-2.38069
2017,126,23,36,-2.38069
2017,126,23,37,-2.38636
2017,126,23,38,-2.38636
2017,126,23,39,-2.40336
2017,126,23,40,-2.38069
2017,126,23,41,-2.38068
2017,126,23,42,-2.39202
2017,126,23,43,-2.38635
2017,126,23,44,-2.38068
2017,126,23,45,-2.38068
2017,126,23,46,-2.38068
2017,126,23,47,-2.38068
2017,126,23,48,-2.38068
2017,126,23,49,-2.38068
2017,126,23,50,-2.38069
2017,126,23,51,-2.38636
2017,126,23,52,-2.40904
2017,126,23,53,-2.3807
2017,126,23,54,-2.39204
2017,126,23,55,-2.38071
2017,126,23,56,-2.38072
2017,126,23,57,-2.38073
2017,126,23,58,-2.38073
2017,126,23,59,-2.38074
2017,127,0,0,-2.38074
2017,127,0,1,-2.38074
2017,127,0,2,-2.38075
2017,127,0,3,-2.39209
2017,127,0,4,-2.39778
2017,127,0,5,-2.38078
2017,127,0,6,-2.3808
2017,127,0,7,-2.3808
2017,127,0,8,-2.38083
2017,127,0,9,-2.38083
2017,127,0,10,-2.38086
2017,127,0,11,-2.38086
2017,127,0,12,-2.38089
2017,127,0,13,-2.38089
2017,127,0,14,-2.38091
2017,127,0,15,-2.38092
2017,127,0,16,-2.38093
