Year,DOY,hour,minute,Global Horizontal [W/m^2]
2017,145,0,0,0
2017,145,0,1,0
2017,145,0,2,0
2017,145,0,3,0
2017,145,0,4,0
2017,145,0,5,0
2017,145,0,6,0
2017,145,0,7,0
2017,145,0,8,0
2017,145,0,9,0
2017,145,0,10,0
2017,145,0,11,0
2017,145,0,12,0
2017,145,0,13,0
2017,145,0,14,0
2017,145,0,15,0
2017,145,0,16,0
2017,145,0,17,0
2017,145,0,18,0
2017,145,0,19,0
2017,145,0,20,0
2017,145,0,21,0
2017,145,0,22,0
2017,145,0,23,0
2017,145,0,24,0
2017,145,0,25,0
2017,145,0,26,0
2017,145,0,27,0
2017,145,0,28,0
2017,145,0,29,0
2017,145,0,30,0
2017,145,0,31,0
2017,145,0,32,0
2017,145,0,33,0
2017,145,0,34,0
2017,145,0,35,0
2017,145,0,36,0
2017,145,0,37,0
2017,145,0,38,0
2017,145,0,39,0
2017,145,0,40,0
2017,145,0,41,0
2017,145,0,42,0
2017,145,0,43,0
2017,145,0,44,0
2017,145,0,45,0
2017,145,0,46,0
2017,145,0,47,0
2017,145,0,48,0
2017,145,0,49,0
2017,145,0,50,0
2017,145,0,51,0
2017,145,0,52,0
2017,145,0,53,0
2017,145,0,54,0
2017,145,0,55,0
2017,145,0,56,0
2017,145,0,57,0
2017,145,0,58,0
2017,145,0,59,0
2017,145,1,0,0
2017,145,1,1,0
2017,145,1,2,0
2017,145,1,3,0
2017,145,1,4,0
2017,145,1,5,0
2017,145,1,6,0
2017,145,1,7,0
2017,145,1,8,0
2017,145,1,9,0
2017,145,1,10,0
2017,145,1,11,0
2017,145,1,12,0
2017,145,1,13,0
2017,145,1,14,0
2017,145,1,15,0
2017,145,1,16,0
2017,145,1,17,0
2017,145,1,18,0
2017,145,1,19,0
2017,145,1,20,0
2017,145,1,21,0
2017,145,1,22,0
2017,145,1,23,0
2017,145,1,24,0
2017,145,1,25,0
2017,145,1,26,0
2017,145,1,27,0
2017,145,1,28,0
2017,145,1,29,0
2017,145,1,30,0
2017,145,1,31,0
2017,145,1,32,0
2017,145,1,33,0
2017,145,1,34,0
2017,145,1,35,0
2017,145,1,36,0
2017,145,1,37,0
2017,145,1,38,0
2017,145,1,39,0
2017,145,1,40,0
2017,145,1,41,0
2017,145,1,42,0
2017,145,1,43,0
2017,145,1,44,0
2017,145,1,45,0
2017,145,1,46,0
2017,145,1,47,0
2017,145,1,48,0
2017,145,1,49,0
2017,145,1,50,0
2017,145,1,51,0
2017,145,1,52,0
2017,145,1,53,0
2017,145,1,54,0
2017,145,1,55,0
2017,145,1,56,0
2017,145,1,57,0
2017,145,1,58,0
2017,145,1,59,0
2017,145,2,0,0
2017,145,2,1,0
2017,145,2,2,0
2017,145,2,3,0
2017,145,2,4,0
2017,145,2,5,0
2017,145,2,6,0
2017,145,2,7,0
2017,145,2,8,0
2017,145,2,9,0
2017,145,2,10,0
2017,145,2,11,0
2017,145,2,12,0
2017,145,2,13,0
2017,145,2,14,0
2017,145,2,15,0
2017,145,2,16,0
2017,145,2,17,0
2017,145,2,18,0
2017,145,2,19,0
2017,145,2,20,0
2017,145,2,21,0
2017,145,2,22,0
2017,145,2,23,0
2017,145,2,24,0
2017,145,2,25,0
2017,145,2,26,0
2017,145,2,27,0
2017,145,2,28,0
2017,145,2,29,0
2017,145,2,30,0
2017,145,2,31,0
2017,145,2,32,0
2017,145,2,33,0
2017,145,2,34,0
2017,145,2,35,0
2017,145,2,36,0
2017,145,2,37,0
2017,145,2,38,0
2017,145,2,39,0
2017,145,2,40,0
2017,145,2,41,0
2017,145,2,42,0
2017,145,2,43,0
2017,145,2,44,0
2017,145,2,45,0
2017,145,2,46,0
2017,145,2,47,0
2017,145,2,48,0
2017,145,2,49,0
2017,145,2,50,0
2017,145,2,51,0
2017,145,2,52,0
2017,145,2,53,0
2017,145,2,54,0
2017,145,2,55,0
2017,145,2,56,0
2017,145,2,57,0
2017,145,2,58,0
2017,145,2,59,0
2017,145,3,0,0
2017,145,3,1,0
2017,145,3,2,0
2017,145,3,3,0
2017,145,3,4,0
2017,145,3,5,0
2017,145,3,6,0
2017,145,3,7,0
2017,145,3,8,0
2017,145,3,9,0
2017,145,3,10,0
2017,145,3,11,0
2017,145,3,12,0
2017,145,3,13,0
2017,145,3,14,0
2017,145,3,15,0
2017,145,3,16,0
2017,145,3,17,0
2017,145,3,18,0
2017,145,3,19,0
2017,145,3,20,0
2017,145,3,21,0
2017,145,3,22,0
2017,145,3,23,0
2017,145,3,24,0
2017,145,3,25,0
2017,145,3,26,0
2017,145,3,27,0
2017,145,3,28,0
2017,145,3,29,0
2017,145,3,30,0
2017,145,3,31,0
2017,145,3,32,0
2017,145,3,33,0
2017,145,3,34,0
2017,145,3,35,0
2017,145,3,36,0
2017,145,3,37,0
2017,145,3,38,0
2017,145,3,39,0
2017,145,3,40,0
2017,145,3,41,0
2017,145,3,42,0
2017,145,3,43,0
2017,145,3,44,0
2017,145,3,45,0
2017,145,3,46,0
2017,145,3,47,0
2017,145,3,48,0
2017,145,3,49,0
2017,145,3,50,0
2017,145,3,51,0
2017,145,3,52,0
2017,145,3,53,0
2017,145,3,54,0
2017,145,3,55,0
2017,145,3,56,0
2017,145,3,57,0
2017,145,3,58,0
2017,145,3,59,0
2017,145,4,0,0
2017,145,4,1,0
2017,145,4,2,0
2017,145,4,3,0
2017,145,4,4,0
2017,145,4,5,0
2017,145,4,6,0
2017,145,4,7,0
2017,145,4,8,0
2017,145,4,9,0
2017,145,4,10,0
2017,145,4,11,0
2017,145,4,12,0
2017,145,4,13,0
2017,145,4,14,0
2017,145,4,15,0
2017,145,4,16,0
2017,145,4,17,0
2017,145,4,18,0
2017,145,4,19,0
2017,145,4,20,0
2017,145,4,21,0
2017,145,4,22,0
2017,145,4,23,0
2017,145,4,24,0
2017,145,4,25,0
2017,145,4,26,0
2017,145,4,27,0
2017,145,4,28,0
2017,145,4,29,0
2017,145,4,30,0
2017,145,4,31,0
2017,145,4,32,0
2017,145,4,33,0
2017,145,4,34,0
2017,145,4,35,0
2017,145,4,36,0
2017,145,4,37,0
2017,145,4,38,0
2017,145,4,39,0
2017,145,4,40,0
2017,145,4,41,0
2017,145,4,42,0
2017,145,4,43,0
2017,145,4,44,0
2017,145,4,45,0
2017,145,4,46,0
2017,145,4,47,0
2017,145,4,48,0
2017,145,4,49,0
2017,145,4,50,0
2017,145,4,51,0
2017,145,4,52,0
2017,145,4,53,0
2017,145,4,54,0
2017,145,4,55,0
2017,145,4,56,0
2017,145,4,57,0
2017,145,4,58,0
2017,145,4,59,0
2017,145,5,0,0
2017,145,5,1,0
2017,145,5,2,0
2017,145,5,3,0
2017,145,5,4,0
2017,145,5,5,0
2017,145,5,6,0
2017,145,5,7,0
2017,145,5,8,0
2017,145,5,9,0
2017,145,5,10,0.350978
2017,145,5,11,0.440156
2017,145,5,12,0.401761
2017,145,5,13,0.765436
2017,145,5,14,0.765436
2017,145,5,15,0.765436
2017,145,5,16,0.854522
2017,145,5,17,1.52432
2017,145,5,18,1.53065
2017,145,5,19,1.58809
2017,145,5,20,2.27671
2017,145,5,21,2.29565
2017,145,5,22,2.29565
2017,145,5,23,2.75436
2017,145,5,24,3.14924
2017,145,5,25,3.53686
2017,145,5,26,0.507905
2017,145,5,27,0.775067
