Year,DOY,hour,minute,Global Horiz [W/m^2]
2017,143,21,17,-1.109
2017,143,21,18,-1.109
2017,143,21,19,-1.0628
2017,143,21,20,-0.80712
2017,143,21,21,-0.73935
2017,143,21,22,-0.76399
2017,143,21,23,-0.74551
2017,143,21,24,-0.80096
2017,143,21,25,-0.90878
2017,143,21,26,-0.93959
2017,143,21,27,-1.0289
2017,143,21,28,-0.99812
2017,143,21,29,-1.0967
2017,143,21,30,-1.1059
2017,143,21,31,-1.109
2017,143,21,32,-1.109
2017,143,21,33,-1.109
2017,143,21,34,-1.109
2017,143,21,35,-1.109
2017,143,21,36,-1.109
2017,143,21,37,-1.109
2017,143,21,38,-1.1368
2017,143,21,39,-1.2939
2017,143,21,40,-1.4602
2017,143,21,41,-1.4725
2017,143,21,42,-1.451
2017,143,21,43,-1.223
2017,143,21,44,-1.109
2017,143,21,45,-1.109
2017,143,21,46,-1.109
2017,143,21,47,-1.109
2017,143,21,48,-1.109
2017,143,21,49,-1.109
2017,143,21,50,-1.109
2017,143,21,51,-1.109
2017,143,21,52,-1.109
2017,143,21,53,-1.0936
2017,143,21,54,-0.93035
2017,143,21,55,-0.77016
2017,143,21,56,-0.73935
2017,143,21,57,-0.63769
2017,143,21,58,-0.41897
2017,143,21,59,-0.36968
2017,143,22,0,-0.36968
2017,143,22,1,-0.36968
2017,143,22,2,-0.36968
2017,143,22,3,-0.36968
2017,143,22,4,-0.37276
2017,143,22,5,-0.52371
2017,143,22,6,-0.71471
2017,143,22,7,-0.73935
2017,143,22,8,-0.73935
2017,143,22,9,-0.73936
2017,143,22,10,-0.73936
2017,143,22,11,-0.73936
2017,143,22,12,-0.73936
2017,143,22,13,-0.80097
2017,143,22,14,-0.94268
2017,143,22,15,-1.0536
2017,143,22,16,-1.0998
2017,143,22,17,-1.109
2017,143,22,18,-1.0967
2017,143,22,19,-1.0474
2017,143,22,20,-1.0998
2017,143,22,21,-1.109
2017,143,22,22,-1.109
2017,143,22,23,-1.109
2017,143,22,24,-1.106
2017,143,22,25,-1.0998
2017,143,22,26,-1.109
2017,143,22,27,-1.109
2017,143,22,28,-1.109
2017,143,22,29,-1.109
2017,143,22,30,-1.109
2017,143,22,31,-1.109
2017,143,22,32,-1.109
2017,143,22,33,-1.109
2017,143,22,34,-1.109
2017,143,22,35,-1.109
2017,143,22,36,-1.0906
2017,143,22,37,-1.0135
2017,143,22,38,-1.069
2017,143,22,39,-1.0998
2017,143,22,40,-1.0998
2017,143,22,41,-0.99813
2017,143,22,42,-1.069
2017,143,22,43,-1.0967
2017,143,22,44,-1.106
2017,143,22,45,-1.109
2017,143,22,46,-1.109
2017,143,22,47,-1.106
2017,143,22,48,-1.0813
2017,143,22,49,-1.0474
2017,143,22,50,-1.0413
2017,143,22,51,-1.0875
2017,143,22,52,-1.1029
2017,143,22,53,-0.94884
2017,143,22,54,-0.86259
2017,143,22,55,-1.0228
2017,143,22,56,-1.0998
2017,143,22,57,-1.0474
2017,143,22,58,-0.76708
2017,143,22,59,-0.73936
2017,143,23,0,-0.73936
2017,143,23,1,-0.74244
2017,143,23,2,-0.74552
2017,143,23,3,-0.73936
2017,143,23,4,-0.73936
2017,143,23,5,-0.7486
2017,143,23,6,-0.95193
2017,143,23,7,-0.99197
2017,143,23,8,-0.96117
2017,143,23,9,-0.85951
2017,143,23,10,-0.86875
